"","District","OBJECTID","PROVINCE","DISTRICT","Shape_Leng","ADMIN_UNIT","Shape_Le_1","Shape_Le_2","Shape_Area","id","fertility","elevation","poverty","night_lights","distance_to_lakes_rivers","malaria_instance","Population","child_population","population_density"
"17","LAYYAH",105,"PUNJAB","LAYYAH",3.99690767196,"DISTRICT",3.99690767054,3.99690767054,0.602245364992,"101",5.04994061164604,147.125259037532,0.785697587106312,0.650166117482715,19,0,1766937.10631942,425365.466249,2933915.65801905
"18","LODHRAN",106,"PUNJAB","LODHRAN",3.4928707464,"DISTRICT",3.49287074559,3.49287074559,0.248084429151,"102",12.8283931939693,117.618461538462,0.715123651978019,0.606986254453659,1,0,1824277.32981881,283312.504101,7353453.5644252
"19","MANDI BAHAUDDIN",107,"PUNJAB","MANDI BAHAUDDIN",2.63685589849,"DISTRICT",2.63685590419,2.63685590419,0.264554251075,"103",11.983052778859,209.447596532703,0.432236719546587,0.574253612756729,10,0,1810941.57453636,272120.549359,6845256.0001501
"20","MIANWALI",108,"PUNJAB","MIANWALI",4.19334652859,"DISTRICT",4.19334652642,4.19334652642,0.579552225282,"104",4.83091786192222,294.413941789436,0.525759830454631,0.710099250078201,54,0,1658109.82545084,346876.109,2861018.82301294
"21","MULTAN",109,"PUNJAB","MULTAN",4.04397871066,"DISTRICT",4.0439787105,4.0439787105,0.3406389045,"105",23.7270217927448,116.45625127473,0.677117457462529,0.506553792953491,36,0,4891622.90715121,514670.6738,14360141.6119256
"22","NANKANA SAHIB",111,"PUNJAB","NANKANA SAHIB",4.27509595409,"DISTRICT",4.27509594818,4.27509594818,0.263333165077,"107",13.2256819930666,194.204312384959,0.514868670440241,0.438362995783488,42,0,1969877.87041823,151597.989915,7480553.65469149
"23","NAROWAL",112,"PUNJAB","NAROWAL",2.80192735958,"DISTRICT",2.7992446861,2.7992446861,0.222258966408,"108",15.5766376828859,253.820447284345,0.553762364759924,0.503532985846202,23,0,1968210.66022459,157452.560336,8855483.72708415
"24","OKARA",113,"PUNJAB","OKARA",4.27127460327,"DISTRICT",4.27127460258,4.27127460258,0.415705929918,"109",14.5071223493229,176.425360617243,0.620836543544735,0.502464840809504,23,0,3481221.91553384,397742.937451,8374241.6573671
"25","PAK PATTAN",114,"PUNJAB","PAK PATTAN",3.77322273844,"DISTRICT",3.77322273879,3.77322273879,0.270870945779,"110",13.2945318925168,159.345064613693,0.647243883088948,0.529451827208201,0,0,NA,291294.101476,NA
"26","RAJANPUR",116,"PUNJAB","RAJANPUR",6.24914605142,"DISTRICT",6.24914605488,6.24914605488,1.16202125103,"112",2.6075745467367,280.362032884903,0.836241549407073,0.06085036930285,46,0,1760055.00074864,328889.512723,1514649.580796
"27","RAWALPINDI",117,"PUNJAB","RAWALPINDI",5.48900514819,"DISTRICT",5.48900514908,5.48900514908,0.504839078692,"113",17.1144359033049,612.96397139714,0.409630442097339,0.528526622802019,37,0,5274662.33939513,595128.536485,10448205.3034828
"28","SAHIWAL",118,"PUNJAB","SAHIWAL",4.25915948587,"DISTRICT",4.25915948775,4.25915948775,0.30303866723,"114",16.3541532607322,160.501609195402,0.539552808509677,0.461781747639179,6,0,2886651.07496765,373971.029387,9525685.62076185
"29","SARGODHA",119,"PUNJAB","SARGODHA",4.66255213833,"DISTRICT",4.66255213698,4.66255213698,0.552218316126,"115",13.0239265811437,185.334801207851,0.462804920169168,0.519013004170524,9,0,4164194.6867447,343380.14397,7540848.54692605
"30","SHEIKHUPURA",120,"PUNJAB","SHEIKHUPURA",4.1066287642,"DISTRICT",4.1066287608,4.1066287608,0.288328633032,"116",18.8256946288525,207.419059107358,0.43102157368071,0.513686001300812,22,0,3229667.23469843,255363.792672,11201340.6394501
"31","SIALKOT",121,"PUNJAB","SIALKOT",2.88480719473,"DISTRICT",3.27031717559,3.27031717559,0.296505196022,"117",24.8927908718063,241.538662239089,0.422726228472601,0.511003994941711,2,0,4254666.15661976,235608.605029,14349381.4398587
"32","VEHARI",123,"PUNJAB","VEHARI",4.94444460735,"DISTRICT",4.94444460503,4.94444460503,0.419417708509,"119",13.5523342882329,137.510264900662,0.584603976089605,0.604429717574801,33,0,3246500.24300064,473061.652442,7740493.96851106
