"","TEHSIL","fertility","elevation","poverty","night_lights","distance_to_lakes_rivers","distance_to_cities","Population","child_population","population_density","radio","electricity","television","mobile_phone","card","antenatal_care","age","mothers_age","school_level","urban_to_rural","fac_number","edu_mode","penta3_in_clinic","penta3_out_clinic","OutreachProportion","TotalOutreachCoverage","TotalClinicsCoverage"
"75","LALIAN",9.70272905014743,176.175204157387,0.377463358335573,NA,26,30.3538575667656,418270.501122832,41742.738349,4480263.25812499,0.0408921933085502,0.907063197026022,0.574349442379182,0.808550185873606,0.492537313432836,0.760869565217391,2.01092896174863,27.8281690140845,3.3049853372434,0.394988039830385,13,2,1251,15313,0.924474764549626,0.366842248631895,0.029969284466695
"76","LAYYAH",8.22968743467725,143.918122270742,0.803858380351103,0.538433492183685,12,30.9628685839097,926461.639293318,111275.224685,4857436.24194927,0.106821106821107,0.849420849420849,0.510939510939511,0.885456885456886,0.598540145985402,0.682352941176471,1.99846153846154,27.7993049522155,3.37849779086892,0.352086498022198,22,2,10927,35687,0.765585446432402,0.320709305247628,0.0981979594373533
"77","LIAQAT PUR",3.6612256606489,103.690920903037,0.785420007935891,-0.169385999441147,27,130.592009095339,1074599.23528889,135377.486603,2511727.38659631,0.0578602620087336,0.910577971646674,0.435114503816794,0.8113413304253,0.396396396396396,0.662207357859532,2.04326328800989,27.4519650655022,3.23560209424084,0.235766867401802,33,2,3484,18660,0.842666184971098,0.137836803358015,0.0257354460289027
"78","LODHRAN",12.0645061721256,113.374269005848,0.719163956271897,0.579686999320984,1,15.2287199480182,738958.875980634,93686.087937,6948158.8870533,0.0430622009569378,0.938193343898574,0.540412044374009,0.827258320126783,0.510309278350515,0.770491803278688,2.0328227571116,27.3530655391121,3.34375,0.44631221588814,26,2,3472,28046,0.889840725934387,0.299361416594316,0.037059931484542
"79","MAILSI",12.6990715729791,128.910399257196,0.582089919621123,0.642292002836863,18,19.127669452182,1094751.01735209,123843.386551,7333915.16927529,0.0567375886524823,0.949232585596222,0.501770956316411,0.814639905548996,0.532407407407407,0.840579710144927,2.02425373134328,28.4982517482517,3.380859375,0.377494899915994,32,2,3150,31874,0.910061671996345,0.257373452775163,0.0254353509519283
"80","MALAKWAL",10.97057636229,207.50486381323,0.492311482386598,0.54091902077198,0,22.5359922178988,459967.630712298,45939.431718,6423956.96559903,0.0411522633744856,0.991769547325103,0.668724279835391,0.905349794238683,0.677966101694915,0.871794871794872,2.0794701986755,28.3015873015873,3.46288209606987,0.305783685010433,17,2,3112,16731,0.843168875674041,0.364196930051367,0.0677413690944865
"81","MANDI BAHAUDDIN",15.2606184642256,215.44921552436,0.368566097022579,0.594610512256622,0,10.037985136251,733320.960326056,74073.443478,8723743.49842791,0.0676567656765677,0.99341021416804,0.754530477759473,0.909390444810544,0.622641509433962,0.811188811188811,2.0570652173913,27.8656884875846,3.44395924308588,0.406153284625933,26,2,4124,30223,0.879931289486709,0.408013973442133,0.0556744739594135
"82","MANKERA",1.39704105544855,165.380275890467,0.789757089519206,0.855600506067276,0,60.8174897119342,266035.780844551,28544.857904,788067.143402327,0.0851528384279476,0.845315904139434,0.406113537117904,0.827886710239651,0.54014598540146,0.685314685314685,2.00819672131148,27.7451790633609,3.10483870967742,0.156172485076102,8,2,942,4796,0.835831300104566,0.16801625063714,0.0330006897623406
"83","MIAN CHANNU",15.472146377677,144.895608351332,0.531397115248755,0.484041005373001,2,18.9784017278618,853017.947031451,91008.31317,8872885.13173773,0.039119804400978,0.981729598051157,0.586080586080586,0.918392204628502,0.534351145038168,0.796116504854369,2.24104234527687,28.1357318070319,3.40479360852197,0.369659312624628,22,2,4022,38641,0.905726273351616,0.424587586057332,0.0441937649419681
"84","MIANWALI",4.99457535516311,293.39842983317,0.513974833114839,0.710257162650426,11,52.7284102060844,831826.860475466,88559.4433070001,2933170.9536506,0.0967741935483871,0.980286738351254,0.711469534050179,0.906810035842294,0.474358974358974,0.864,2.02395209580838,28.9831528279182,3.6109785202864,0.377781411872321,27,5,3171,20503,0.866055588409225,0.231516812147569,0.0358064581436834
"85","MINCHINABAD",7.47025761546936,167.1008492569,0.729385124024334,0.705475986003876,0,37.9068911099421,533592.600014619,61534.775079,4036575.81874459,0.016,0.922,0.422845691382766,0.748,0.33,0.689189189189189,2.01020408163265,28.1949025487256,3.11397058823529,0.392191154242981,19,2,781,16475,0.954740380157626,0.267734788643478,0.0126920103144495
"86","MULTAN CITY",138.193267127084,121.638961038961,0.543523379192724,0.488445997238159,0,0,2333742.16012892,226931.399102,87236819.1327804,0.0925925925925926,0.984363894811656,0.741109530583215,0.869843527738265,0.624338624338624,0.917737789203085,1.95114345114345,27.6214526214526,3.38852578068264,0.578613446158188,14,2,2571,50894,0.951912466099317,0.224270419172467,0.0113294150134085
"87","MULTAN SADDAR",14.6018256193734,122.296229802513,0.665801326839564,0.536593973636627,9,11.6202872531418,1329632.23632578,152807.733376,8599538.71408653,0.0832072617246596,0.974358974358974,0.731523378582202,0.858220211161388,0.617886178861789,0.872093023255814,2.02422907488987,27.8986556359876,3.49099836333879,0.559850198677178,42,2,6918,30933,0.817230720456527,0.202430854228339,0.0452725778150083
"88","MURIDKE",20.0032375203862,214.1734375,0.466068366913818,0.542065024375916,10,10.8889745566692,719425.141868482,83865.316497,7995723.96378619,0.0538116591928251,0.992559523809524,0.808955223880597,0.907600596125186,0.46875,0.918781725888325,2.06741573033708,27.5409674234946,3.40229885057471,0.298187347373571,23,2,2297,22481,0.907296795544435,0.268060754302456,0.0273891531796958
"89","MURREE",12.4441752784392,1273.18784530387,0.414958182694938,0.749710977077484,1,11.6691176470588,271926.897200094,23672.531214,7273999.94244683,0.153246753246753,1,0.685714285714286,0.922279792746114,0.727272727272727,0.919540229885057,1.96860986547085,28.3419117647059,3.63265306122449,0.407515599453867,12,5,276,5611,0.953117037540343,0.237025772583273,0.0116590827362294
"90","MUZAFFARGARH",12.6335808404535,118.248583805398,0.723043560157494,0.6762855052948,39,23.9763412195935,1531316.64854698,194005.513486,7333211.97746505,0.0591233435270133,0.885830784913354,0.484199796126402,0.771661569826707,0.430851063829787,0.781818181818182,2.07984293193717,28.2315160567588,3.42715231788079,0.411753981740055,32,2,8279,23483,0.739342610666835,0.121042951708146,0.0426740449342819
