,TEHSIL,OBJECTID,PROVINCE,DISTRICT,SHAPE_Leng,Area_Sq_Km,Shape_Le_1,Shape_Area,id,total_teh_obs,Preschool,Primary,Middle,Matric,Above
37,GUJRANWALA,325,PUNJAB,GUJRANWALA,2.07008537,787.2483043,2.070085366,0.074868866,323,2250,0.000888889,0.216,0.215555556,0.302666667,0.264888889
38,GUJRANWALA CITY,326,PUNJAB,GUJRANWALA,0.472759845,79.39860746,0.472759844,0.007550861,324,395,0,0.144303797,0.202531646,0.359493671,0.293670886
39,GUJRAT,330,PUNJAB,GUJRAT,2.02288037,1437.931139,2.022880368,0.137498587,328,1290,0.001550388,0.265891473,0.17751938,0.279069767,0.275968992
40,HAFIZABAD,333,PUNJAB,HAFIZABAD,1.432639558,1102.350742,1.432639559,0.104911762,331,674,0.004451039,0.28189911,0.173590504,0.25074184,0.289317507
41,HAROONABAD,297,PUNJAB,BAHAWALNAGAR,1.617578582,1130.125824,1.617578582,0.104785487,295,481,0.022869023,0.286902287,0.168399168,0.303534304,0.218295218
42,HASILPUR,302,PUNJAB,BAHAWALPUR,2.466033916,1124.316725,2.466033913,0.104523332,300,443,0.011286682,0.311512415,0.218961625,0.20993228,0.248306998
43,HASSANABDAL,290,PUNJAB,ATTOCK,1.279832651,381.1598371,1.279832648,0.037038711,288,370,0.008108108,0.308108108,0.186486486,0.227027027,0.27027027
44,HAZRO,291,PUNJAB,ATTOCK,1.211388954,387.0772072,1.211388957,0.03767185,289,295,0.010169492,0.406779661,0.189830508,0.227118644,0.166101695
45,ISAKHEL,365,PUNJAB,MIANWALI,2.923414387,1883.27458,2.923414383,0.181383173,362,232,0,0.288793103,0.189655172,0.262931034,0.25862069
46,JAHANIAN,347,PUNJAB,KHANEWAL,1.45683001,499.7275092,1.456830011,0.046703746,345,423,0,0.312056738,0.1678487,0.283687943,0.236406619
