"","TEHSIL","DISTRICT","PROVINCE","X","Y","Shape_Le_1","Shape_Area","Population","Child Population","Population Density","Poverty","Births","Fertiltiy","Malaria Instance","Distance to Lakes Rivers","Night Lights","Elevation","Children Urban","Women Urban","Household Urban","Urban to Rural Ratio","Radio Instance","Electricity Instance","Television Instance","Mobile Phone Instance","Vacc Card Instance","School Enrolled","Antenatal Care","Child Age","Mother Age","Maternal Education","Num Total Clinics","Penta 1 Total","Penta 3 Total","Penta 1 Per Capita","Penta 3 Per Capital","Penta From Clinic","PentaFromOutreach","TotalClinicsCoverage","TotalOutreachCoverage","TotalFromUnknownCoverage","OutreachClinicRatio"
"16","CHAUBARA","LAYYAH","PUNJAB",71.5434414694198,30.9107809203912,2.25973300174,0.277324077191,262461.886837103,30654.287926,946408.582679027,0.774812699258328,6461.99433839321,1.61509481089558,0,30654.287926,0.774812699258328,145.71675,0,0,0,0,0.0725663716814159,0.542402826855124,0.27208480565371,0.881625441696113,0.645833333333333,0.35693215339233,0.536170212765957,2.00680272108844,27.7345132743363,2.55096418732782,8,12881,13337,0.420202225251324,0.435077795060702,1,14,0.0715397469122082,0.160303837814223,0.209367120694278,0.74532574613866
"17","CHICHAWATNI","SAHIWAL","PUNJAB",72.6877684319818,30.4267213751777,2.60438483507,0.148738680975,1230347.14624386,123338.692326,8271870.76138356,0.504868040974014,30680.212673068,14.3499591548494,0,123338.692326,0.504868040974014,153.749530956848,0.34192439862543,0.403008709422011,0.38969764837626,0.378210252141233,0.0738569753810082,0.946943483275663,0.66320645905421,0.860438292964245,0.409090909090909,0.611734253666954,0.896551724137931,1.93621013133208,28.0025884383089,3.5225988700565,46,39739,40189,0.32219410835786,0.3258425984749,0,0,0.00641323485017407,0.10267661964931,0.225557766791204,0.972353290692391
"18","CHINIOT","CHINIOT","PUNJAB",73.025571235359,31.7001194801803,1.65468292555,0.0663534855522,467005.435694354,46668.786885,7038144.74564358,0.43497073045879,12911.0111558437,13.5477556724488,0,46668.786885,0.43497073045879,181.98121085595,0.414545454545455,0.42814667988107,0.428792569659443,0.423828234695323,0.036741214057508,0.960063897763578,0.562300319488818,0.8256,0.537037037037037,0.449026345933562,0.719101123595506,1.97045454545455,28.020618556701,3.29081632653061,13,35817,32183,0.767472274097446,0.689604383317366,225,568,0.0682040441257551,0.20979761106983,0.421459423157234,0.860712410292316
"19","CHISHTIAN","BAHAWALNAGAR","PUNJAB",72.8670547353549,29.6400660563758,2.45105531731,0.169562479346,780803.271533055,83898.1037339999,4604811.59832412,0.675830334217843,19460.9501581192,7.96600497671682,0,83898.1037339999,0.675830334217843,146.708333333333,0.344,0.430470347648262,0.398268398268398,0.390912915305553,0.0365659777424483,0.96031746031746,0.585714285714286,0.807936507936508,0.43801652892562,0.580498866213152,0.814814814814815,1.89795918367347,27.6802721088435,3.41015625,29,32716,30567,0.389949218682302,0.36433481377497,90,112,0.0280697643353962,0.0971654857164118,0.243342806229914,0.896578982038558
"20","CHOA SAIDAN SHAH","CHAKWAL","PUNJAB",73.0505687321305,32.7504505495791,1.28463763433,0.0481421202312,170907.258360337,15831.238978,3550056.73907929,0.447197671582445,4363.81860733032,6.2969965473742,0,15831.238978,0.447197671582445,665.519480519481,0.338983050847458,0.36547433903577,0.339130434782609,0.347862608221945,0.0751173708920188,0.995305164319249,0.802816901408451,0.889671361502347,0.222222222222222,0.777235772357724,0.902777777777778,2.14150943396226,28.7430894308943,3.50836820083682,7,7358,6975,0.464777267921045,0.440584594149129,0,257,0.0140860737627607,0.125827170113988,0.309577791530449,0.95647931303669
"21","CHUNIAN","KASUR","PUNJAB",74.0468842202124,30.8855526514518,1.82977106794,0.11094759583,915601.752857614,105279.943199,8252560.55354773,0.550415006343514,23008.5300140381,14.4435216660628,27,105279.943199,0.550415006343514,187.582286432161,0.348534201954397,0.415111940298507,0.401069518716578,0.388238553656494,0.0102639296187683,0.959124087591241,0.484626647144949,0.811678832116788,0.467455621301775,0.474066390041494,0.685990338164251,2.1028880866426,27.5663900414938,3.45175438596491,24,38563,31651,0.366290091239015,0.300636560376684,52,463,0.0171542645742722,0.0854863683103268,0.201643345873325,0.921597568916866
"22","DARYA KHAN","BHAKKAR","PUNJAB",71.3268488525734,31.8053840488707,2.04510005477,0.13184421513,360979.779108197,40405.330278,2737926.56547173,0.760152435133688,9217.69649517536,4.84631782080724,0,40405.330278,0.760152435133688,178.116071428571,0.331521739130435,0.392902408111534,0.36127744510978,0.361900530783916,0.0733752620545073,0.90146750524109,0.452830188679245,0.82563025210084,0.308411214953271,0.404761904761905,0.647540983606557,2.05135951661631,28.0546218487395,3.22222222222222,10,14050,13304,0.347726399050127,0.329263488467109,15,36,0.0383612753400496,0.107461069371932,0.18559432501615,0.82871035473533
"23","DASKA","SIALKOT","PUNJAB",74.3957424030709,32.263121140377,1.76277525861,0.0718298774709,1016790.99566206,111760.219659,14155544.0641533,0.406716299920842,24419.5592746735,23.4352776148498,0,111760.219659,0.406716299920842,231.571014492754,0.402730375426621,0.426598837209302,0.428571428571429,0.419300213735784,0.0360248447204969,0.998760842627014,0.788104089219331,0.921933085501859,0.666666666666667,0.795398520953164,0.824742268041237,1.88429752066116,27.5981922760887,3.52789256198347,23,43204,44663,0.38657762244762,0.399632356989586,781,830,0.0805742868748454,0.0966175624291594,0.252674879184759,0.758216088497476
"24","DEPALPUR","OKARA","PUNJAB",73.7859775931933,30.5730461857216,2.93788346065,0.239735580389,1600542.69237053,181696.848671,6676283.46936845,0.673066214420478,39972.8782248497,11.6641021957542,93,181696.848671,0.673066214420478,175.181074766355,0.331585845347313,0.396563573883161,0.361702127659574,0.36328384896335,0.018450184501845,0.953038674033149,0.529953917050691,0.791896869244936,0.549295774647887,0.454545454545455,0.765567765567766,2.02418207681366,27.9418181818182,3.2592,56,52148,44221,0.287005528061881,0.243377913945394,120,82,0.0178153887845422,0.0459941934113128,0.18117540420091,0.910471291072021
"25","DERA GHAZI KHAN","DERA GHAZI KHAN","PUNJAB",70.6405632252172,30.0621901423531,3.01918214462,0.338753255345,1803594.7822832,244600.716959,5324213.87492304,0.618525225727067,44745.352894742,9.25829772289303,0,244600.716959,0.618525225727067,142.447422258592,0.270222222222222,0.386186186186186,0.3312,0.329202802802803,0.0991596638655462,0.849706129303107,0.410579345088161,0.779177162048699,0.175392670157068,0.390102827763496,0.637096774193548,2.12379110251451,27.6542416452442,3.6507413509061,38,96343,97661,0.393878649244308,0.399267022657052,592,2337,0.0484749192374096,0.109889293597228,0.243568378460584,0.834014614889268
