"","Tehsil","OBJECTID","PROVINCE","DISTRICT","TEHSIL","SHAPE_Leng","Area_Sq_Km","Shape_Le_1","Shape_Area","id","fertility","elevation","poverty","night_lights","distance_to_lakes_rivers","malaria_instance","Population","child_population","population_density"
"25","DEPALPUR",383,"PUNJAB","OKARA","DEPALPUR",2.93788346197,2560.28307703,2.93788346065,0.239735580389,"380",11.6641021957542,175.181074766355,0.673066214420478,0.5196440021197,23,0,1600542.69237053,181696.848671,6676283.46936845
"26","DERA GHAZI KHAN",317,"PUNJAB","DERA GHAZI KHAN","DERA GHAZI KHAN",3.01918214499,3621.19030989,3.01918214462,0.338753255345,"315",9.25829772289303,142.447422258592,0.618525225727067,0.658009737730026,35,0,1803594.7822832,244600.716959,5324213.87492304
"27","DUNYA PUR",359,"PUNJAB","LODHRAN","DUNYA PUR",1.79712404302,806.767928427,1.79712404092,0.0752333544217,"356",12.3741613587883,120.008310249307,0.706751694190084,0.591921001672745,0,0,527545.66001912,59155.96614,7012124.66298002
"28","FAISALABAD CITY",320,"PUNJAB","FAISALABAD","FAISALABAD CITY",0.711983252894,200.950290049,0.711983255277,0.0190071083942,"318",125.684172964795,183.769230769231,0.357460750987495,0.458514988422394,0,0,3306004.27715914,318990.430656,173935151.449337
"29","FATEH JANG",289,"PUNJAB","ATTOCK","FATEH JANG",1.88092210929,1310.41839628,1.8809221135,0.126920035436,"287",4.7181343734914,480.145981410607,0.488432604837847,0.548298001289368,0,0,338325.102530492,30952.700811,2665655.59462906
"30","FEROZEWALA",411,"PUNJAB","SHEIKHUPURA","FEROZEWALA",1.41514857599,459.805425732,1.41514858,0.0435004213713,"408",18.815260318827,207.798412698413,0.34669311486765,0.377963006496429,6,0,656705.667221647,75287.323317,15096535.7695343
"31","FORT ABBAS",296,"PUNJAB","BAHAWALNAGAR","FORT ABBAS",2.75161484274,2401.52456911,2.75161484294,0.222078140748,"294",3.49679300610209,139.115845959596,0.862599338623605,0.752008001009623,0,0,453544.081434717,49017.089091,2042272.50780782
"32","GOJRA",419,"PUNJAB","TOBA TEK SINGH","GOJRA",1.76805820098,691.338835198,1.76805820536,0.0652422067394,"416",20.1297330907051,166.452025586354,0.404059277096791,0.496692001819611,0,0,773022.286900879,78593.891243,11848500.0053508
"33","GUJAR KHAN",396,"PUNJAB","RAWALPINDI","GUJAR KHAN",2.32020822593,1480.87761076,2.32020822135,0.142837678932,"393",9.39125896151928,485.492464754497,0.365778209871465,0.45818567276001,7,0,778249.290445082,74683.8780079999,5448487.37576854
"34","GUJRANWALA",325,"PUNJAB","GUJRANWALA","GUJRANWALA",2.07008536976,787.248304336,2.0700853658,0.0748688664227,"323",35.9420186939524,221.746031746032,0.4308406999326,0.538593500852585,0,0,1954167.9054167,202554.857639,26101208.67042
"35","GUJRAT",330,"PUNJAB","GUJRAT","GUJRAT",2.02288037035,1437.93113871,2.02288036826,0.137498586922,"328",21.2148947071932,245.656519533232,0.341793599554082,0.540253013372421,12,0,1712431.64934912,170931.21485,12454176.3496126
"36","HAFIZABAD",333,"PUNJAB","HAFIZABAD","HAFIZABAD",1.43263955846,1102.35074242,1.43263955855,0.104911761787,"331",12.3926948116234,204.44715984148,0.39742749788684,0.549189984798431,10,0,759653.780923654,80533.7246679999,7240882.89038518
"37","HAROONABAD",297,"PUNJAB","BAHAWALNAGAR","HAROONABAD",1.61757858231,1130.12582369,1.61757858226,0.104785487036,"295",10.0743170035575,150.913621262458,0.717990648900131,0.579160988330841,0,0,580463.022131564,60382.327055,5539536.42389562
"38","HASILPUR",302,"PUNJAB","BAHAWALPUR","HASILPUR",2.46603391559,1124.31672477,2.46603391269,0.104523331801,"300",7.99757803634948,139.206644518272,0.767006946631162,0.679390013217926,9,0,488766.676434788,52490.272549,4676149.02828913
"39","HASSANABDAL",290,"PUNJAB","ATTOCK","HASSANABDAL",1.27983265136,381.159837084,1.27983264822,0.0370387113205,"288",10.0531053142013,441.619402985075,0.409910406194516,0.590184986591339,0,0,259011.582947462,24474.180831,6992996.6165995
"40","ISAKHEL",365,"PUNJAB","MIANWALI","ISAKHEL",2.92341438718,1883.27458015,2.92341438284,0.18138317281,"362",3.85726387076074,359.89270714013,0.567138132433455,0.713585019111633,32,0,405355.777674626,47867.176688,2234803.65568
"41","JAHANIAN",347,"PUNJAB","KHANEWAL","JAHANIAN",1.45683001044,499.727509199,1.45683001066,0.0467037462545,"345",14.8109045342209,125.494065281899,0.656239061838105,0.41738098859787,0,0,383170.467001914,42344.949251,8204276.90990623
"42","JALALPUR PIRWALA",368,"PUNJAB","MULTAN","JALALPUR PIRWALA",1.58360418199,871.275606975,1.58360418294,0.0810897034058,"365",12.0566880997411,107.033505154639,0.737164352101968,0.521640494465828,13,0,557696.603168334,68094.118758,6877526.73576118
"43","JAMPUR",393,"PUNJAB","RAJANPUR","JAMPUR",2.28883986333,2212.12198695,2.28883986292,0.206002067795,"390",6.43492210463965,130.23630831643,0.774866388421399,0.803047001361847,15,0,756182.458784765,103996.4326,3670751.78845908
"44","JAND",292,"PUNJAB","ATTOCK","JAND",3.18130298531,2122.88996139,3.18130298674,0.205458977304,"290",2.8754149862062,360.239607975667,0.365268641270501,0.781081259250641,7,0,353289.81147523,35444.790588,1719515.08817499
"45","JARANWALA",322,"PUNJAB","FAISALABAD","JARANWALA",2.2915847202,1733.36550195,2.29158472165,0.163703285004,"320",17.2539441114991,186.99531516184,0.505709664861226,0.457436998685201,0,0,1652980.90246013,171679.350798,10097420.478885
"46","JATOI",373,"PUNJAB","MUZAFFARGARH","JATOI",1.72291298614,1033.16723336,1.7229129853,0.0962393044272,"370",12.5703086666654,107.604046242775,0.797301949212625,0.685627996921539,5,0,684254.359755888,95308.801006,7109926.28041582
"47","JHANG",337,"PUNJAB","JHANG","JHANG",3.51936040663,2615.34330548,3.51936039879,0.247510805332,"335",10.2483919432994,158.666199943993,0.518708268948811,0.478821240365505,19,0,1437355.47317362,151428.027882,5807243.32921796
"48","JHELUM",340,"PUNJAB","JHELUM","JHELUM",2.17828495334,605.697096804,2.17828495582,0.0581237798343,"338",11.754995268914,254.892601431981,0.311320248964514,0.627278983592987,26,0,470251.868497465,43637.189716,8090524.56392314
"49","KABIRWALA",348,"PUNJAB","KHANEWAL","KABIRWALA",2.09632903821,1649.33782288,2.09632903847,0.154822348563,"346",11.5776074196935,134.215467143496,0.609282069377831,0.509811997413635,21,0,1055374.01711902,113869.162217,6816677.48173688
"50","KAHUTA",397,"PUNJAB","RAWALPINDI","KAHUTA",1.30855484875,614.738837862,1.30855484971,0.0595125445879,"394",6.26535334275512,749.786713286713,0.397453931015737,0.626815021038055,17,0,222907.847784768,21380.837667,3745560.69360357
"51","KALLAR KAHAR",311,"PUNJAB","CHAKWAL","KALLAR KAHAR",1.51871034445,831.659844434,1.51871034369,0.0798594359591,"309",4.97022743032457,652.177083333333,0.401969758390759,0.59068751335144,0,0,201663.379429625,18409.977316,2525229.1981239
"52","KALUR KOT",307,"PUNJAB","BHAKKAR","KALUR KOT",1.93806691189,1749.69732296,1.93806691214,0.167006998465,"305",3.69959843883136,187.389004581424,0.692787295428478,0.603515684604645,12,0,352736.391888435,39069.739409,2112105.45145124
"53","KAMALIA",420,"PUNJAB","TOBA TEK SINGH","KAMALIA",2.2263451707,1117.0210278,2.2259433776,0.104929680598,"552",13.1003360401554,150.145321831453,0.426588146101172,0.491186007857323,59,0,794717.610744163,81045.712255,7573811.39649929
"54","KAMOKE",327,"PUNJAB","GUJRANWALA","KAMOKE",1.64943777675,681.300449904,1.64943777354,0.0646604484061,"325",17.0677250594441,217.852721451441,0.461653907759449,0.620492994785309,0,0,629039.9434782,72326.632075,9728357.27224646
"55","KAROR LAL ESAN",357,"PUNJAB","LAYYAH","KAROR LAL ESAN",1.77193661749,1417.97067094,1.77193661791,0.134190706245,"354",7.74586041525577,154.579979360165,0.782425346048837,0.521723017096519,7,0,578013.580189006,68638.690645,4307403.9653215
"56","KARORPACCA",360,"PUNJAB","LODHRAN","KARORPACCA",1.69493649807,714.550968972,1.69493650145,0.0664978827561,"357",14.5738009155671,121.756558237146,0.718101041934275,0.664416015148163,0,0,557772.793819058,65340.700679,8387827.8631043
"57","KASUR",344,"PUNJAB","KASUR","KASUR",2.92286646652,1458.18747371,2.92286647186,0.137050059805,"342",16.9582945578705,198.435525634386,0.558134469832923,0.536660015583038,15,0,1196462.03287881,138174.490488,8730109.52772427
"58","KHAIRPUR TAMEWALI",303,"PUNJAB","BAHAWALPUR","KHAIRPUR TAMEWALI",1.74800543405,725.334808558,1.74800543447,0.0674442908616,"301",7.53952286256847,128.052523171988,0.739989363484912,0.700109004974365,15,0,291672.648054711,33276.460738,4324645.48635024
"59","KHAN PUR",388,"PUNJAB","RAHIM YAR KHAN","KHAN PUR",3.51049162345,3064.41486578,3.51049162487,0.282515559213,"385",6.88688410145731,88.0316797642436,0.730952049375694,0.695508256554604,10,0,1048763.66231431,37125.542943,3712233.28455198
