"","Tehsil","OBJECTID","PROVINCE","DISTRICT","TEHSIL","SHAPE_Leng","Area_Sq_Km","Shape_Le_1","Shape_Area","id","fertility","elevation","poverty","night_lights","distance_to_lakes_rivers","malaria_instance","Population","child_population","population_density"
"107","SARGODHA",408,"PUNJAB","SARGODHA","SARGODHA",2.67225025812,1457.87583697,2.6722502514,0.138883927065,"405",20.4924174030365,186.662182361734,0.424021322463744,0.529838502407074,0,0,1685523.8450356,167762.933738,12136205.2517909
"108","SHAH KOT",378,"PUNJAB","NANKANA SAHIB","SHAH KOT",0.794801492104,244.432416933,0.794801490731,0.0231343055097,"375",11.8152305819772,194.891891891892,0.478741938809314,0.37618699669838,0,0,247883.7766499,26318.297474,10714986.7345689
"109","SHAHPUR",409,"PUNJAB","SARGODHA","SHAHPUR",1.55640045413,788.007613057,1.55640045276,0.0752400384685,"406",10.0599425630076,180.186175115207,0.472175239636889,0.5356525182724,0,0,422428.486739157,44096.133003,5614410.82883033
"110","SHAKARGARH",381,"PUNJAB","NAROWAL","SHAKARGARH",1.88544982645,965.570144457,1.88544982779,0.0916775958928,"378",14.4576706505045,257.899206349206,0.585355592081417,0.446823000907898,16,0,799176.958547516,89916.222936,8717254.75308063
"111","SHEIKHUPURA",414,"PUNJAB","SHEIKHUPURA","SHEIKHUPURA",2.18057511454,1260.02466276,2.1805751113,0.11936723864,"411",19.6569147749849,204.265969802555,0.422995972569327,0.567357987165451,0,0,1636109.85926159,182201.133685,13706523.480835
"112","SHORKOT",338,"PUNJAB","JHANG","SHORKOT",2.40354430326,1227.90004748,2.40354430469,0.115646879067,"336",10.2357108060867,143.986202759448,0.448038713886985,0.609718978404999,2,0,576552.714904999,63599.031024,4985458.48842988
"113","SHUJABAD",371,"PUNJAB","MULTAN","SHUJABAD",1.36544309622,837.926435103,1.36544309362,0.0781807056617,"368",14.6234490300152,112.86944937833,0.683113437748082,0.464448004961014,14,0,670551.907528187,82212.098073,8576948.77339389
"114","SIALKOT",418,"PUNJAB","SIALKOT","SIALKOT",1.67129765589,973.159471441,1.98059957331,0.0929130177081,"415",34.6271345297526,248.044186046512,0.41817762976469,0.501505970954895,2,0,1877924.26442515,183615.644637,20211637.8387894
"115","SILLANWALI",410,"PUNJAB","SARGODHA","SILLANWALI",1.76430128771,611.342590105,1.76430128796,0.0580984094791,"407",11.8564872155755,175.716363636364,0.392994071539609,0.533571004867554,0,0,387168.228093495,41169.434288,6664007.35518884
"116","SOHAWA",342,"PUNJAB","JHELUM","SOHAWA",2.06169542151,911.996248991,2.06169542141,0.0877252109475,"340",4.79552252027724,406.781027667984,0.463421114614304,0.463025003671646,0,0,208324.233354808,20413.516887,2374736.1916232
"117","TALA GANG",312,"PUNJAB","CHAKWAL","TALA GANG",2.91318745663,3161.00813174,2.91318745393,0.304179588086,"310",3.43438349979618,455.56345408977,0.478034256962139,0.639735658963521,0,0,595198.162004822,60082.695968,1956732.7503795
"118","TANDLIANWALA",324,"PUNJAB","FAISALABAD","TANDLIANWALA",2.68567283601,1355.2444941,2.68567283347,0.12751031025,"322",11.6673151356323,171.159956474429,0.449577694072962,0.452915668487549,72,0,854768.795213373,87927.525046,6703526.90333426
"119","TAUNSA",318,"PUNJAB","DERA GHAZI KHAN","TAUNSA",2.63620583243,2664.5741488,2.63620583273,0.251513980602,"316",3.9857675294623,178.182369146005,0.760767810855358,0.738422671953837,6,0,575750.996748749,74572.084739,2289141.12595525
"120","TOBA TEK SINGH",421,"PUNJAB","TOBA TEK SINGH","TOBA TEK SINGH",2.28525495695,1270.46165257,2.28525496359,0.119640397247,"417",13.9301663657929,157.423255813953,0.332615500799574,0.450373008847237,0,0,969164.523708005,96864.939548,8100646.15304767
"121","VEHARI",424,"PUNJAB","VEHARI","VEHARI",2.2305024581,1391.50062985,2.2305024555,0.129881336181,"420",13.908023637974,138.273752012882,0.649471999990383,0.602223992347717,9,0,1015839.31897705,110562.488798,7821287.86819222
"122","WAZIRABAD",329,"PUNJAB","GUJRANWALA","WAZIRABAD",1.7500991754,1211.96739087,1.75009917712,0.115534829789,"327",15.1735453039857,218.612748045701,0.431096008507803,0.615822523832321,12,0,1025299.34334373,105711.397116,8874374.46539909
"123","YAZMAN",304,"PUNJAB","BAHAWALPUR","YAZMAN",8.00816202689,19177.7459282,8.00816202682,1.76881531433,"302",0.644568755444179,114.645255015902,0.850406557973266,-0.460483657902685,0,0,654666.722364201,71765.9157649999,370115.928475087
"124","ZAFARWAL",382,"PUNJAB","NAROWAL","ZAFARWAL",1.52921059629,641.622802609,1.52652791749,0.0610283651684,"379",15.9881398925781,272.221843003413,0.520590984984063,0.530713975429535,0,0,516431.275487114,58942.960615,8462151.55955902
