"","OBJECTID","PROVINCE","DISTRICT","TEHSIL","SHAPE_Leng","Area_Sq_Km","Shape_Le_1","Shape_Area","id","penta1_in_clinic","penta3_in_clinic","penta1_out_clinic","penta3_out_clinic","penta1_ratio","penta3_ratio","OutreachClinicRatio","vaccinations","penta1","penta2","penta3"
"309",311,"PUNJAB","CHAKWAL","KALLAR KAHAR",1.51871034445,831.659844434,1.51871034369,0.0798594359591,"309",561,705,-10087,7768,-0.058891454965358,-0.0592808551992225,-17.8688524590164,0,5217,5499,5394
"310",312,"PUNJAB","CHAKWAL","TALA GANG",2.91318745663,3161.00813174,2.91318745393,0.304179588086,"310",2149,2748,-51719,18500,-0.0433528343756304,-0.0460754379117978,-22.7035376183358,0,12196,12186,12729
"311",313,"PUNJAB","CHINIOT","BHAWANA",1.54797736939,933.525449936,1.54797736906,0.0884537512945,"311",1781,1821,-47656,17224,-0.0388228882833787,-0.0389165785631576,-26.6959896507115,0,7906,7568,7720
"312",314,"PUNJAB","CHINIOT","CHINIOT",1.6546829257,699.458196472,1.65468292555,0.0663534855522,"312",1524,2828,-12218,28160,-0.142509818589863,-0.175129141993196,-6.71007194244604,0,15118,15434,15712
"313",315,"PUNJAB","CHINIOT","LALIAN",2.45111226495,983.041660884,2.45111226872,0.0933584651224,"313",1434,1989,-21754,18885,-0.0705708661417323,-0.096600907659535,-11.3518696069032,0,9966,9601,9972
"314",316,"PUNJAB","DERA GHAZI KHAN","DE-EXCLUDED AREA D.G.KHAN",3.96172282897,5400.39160271,3.96172283377,0.507164769339,"314",174,321,-1957,4621,-0.0975883342680875,-0.0801510700797314,-13.4764397905759,0,619,1180,1248
"315",317,"PUNJAB","DERA GHAZI KHAN","DERA GHAZI KHAN",3.01918214499,3621.19030989,3.01918214462,0.338753255345,"315",11208,9074,-232998,71358,-0.0505342891924794,-0.0585543632314234,-18.0781466113416,0,40444,37115,44113
"316",318,"PUNJAB","DERA GHAZI KHAN","TAUNSA",2.63620583243,2664.5741488,2.63620583273,0.251513980602,"316",4137,5904,-107832,29581,-0.0398958484015623,-0.046408110536958,-22.5479576399395,0,18636,18281,19878
"317",319,"PUNJAB","FAISALABAD","CHAK JHUMRA",1.03382883415,524.889447645,1.03382883349,0.0497455691759,"317",344,873,4316,21673,0.0738197424892704,0.089990375360924,10.1122994652406,0,9881,10351,10548
"318",320,"PUNJAB","FAISALABAD","FAISALABAD CITY",0.711983252894,200.950290049,0.711983255277,0.0190071083942,"318",1247,2517,35568,110982,0.0338720630177917,0.0399797428466927,24.0126671358198,0,49937,50096,50783
"320",322,"PUNJAB","FAISALABAD","JARANWALA",2.2915847202,1733.36550195,2.29158472165,0.163703285004,"320",2482,6326,-38045,68407,-0.0697916373759244,-0.0745578310449151,-14.4124073351541,0,22248,23601,23272
"321",323,"PUNJAB","FAISALABAD","SAMUNDARI",1.99834499707,869.034385888,1.99834499798,0.0818998719286,"321",1338,2262,-27743,28630,-0.0506722211702329,-0.0477624110138928,-21.9369665134603,0,13344,13694,14062
"322",324,"PUNJAB","FAISALABAD","TANDLIANWALA",2.68567283601,1355.2444941,2.68567283347,0.12751031025,"322",2678,3974,-58524,34444,-0.0479533001468324,-0.0470495907918831,-22.2541699761716,0,16979,16032,16087
"323",325,"PUNJAB","GUJRANWALA","GUJRANWALA",2.07008536976,787.248304336,2.0700853658,0.0748688664227,"323",2886,5197,-40411,44006,-0.07690872751499,-0.0815640751489232,-13.2602996254682,0,16944,17226,16196
"324",326,"PUNJAB","GUJRANWALA","GUJRANWALA CITY",0.472759844967,79.3986074594,0.472759843897,0.00755086143794,"324",15,94,22803,52422,0.000657375755982119,0.00123386066187811,809.464285714286,0,14943,15364,14752
