"","fertility","elevation","poverty","distance_to_lakes_rivers","distance_to_cities","Population","child_population","population_density","radio","electricity","television","mobile_phone","card","antenatal_care","age","mothers_age","school_level","urban_to_rural","fac_number","OutreachProportion","TotalOutreachCoverage","TotalClinicsCoverage","Preschool","Primary","Middle","Matric","Above"
"93",-0.490967922374774,-0.307472834650539,0.439034752770196,0.538032112111679,1.05671469567734,-0.768435524787516,-0.850583756560427,-0.446549537756714,0.458165434214056,-0.980054943421138,-0.706568195201263,-0.0841206486928394,0.927754139466116,0.618230816844839,1.46550602161566,0.857260913216342,-1.62120247342314,-0.947351454156146,-0.738255722519306,1.27898954545839,1.09131009047438,-1.02048524031854,-0.14418270444807,1.81737265591927,-1.75190194355063,0.437482596619306,-2.03737177394772
"94",-0.10048196065867,-0.129141959690554,-0.467248601979502,-0.682338738207857,-0.579990171931453,-0.233186285379682,-0.184539956066561,-0.118753782090499,-0.815189338972196,0.73003460759054,0.571610114212773,0.776022976483495,1.74712708628238,0.670866285412408,1.95335480975996,-1.15212554114898,0.0451358646444501,-0.0494727083764954,0.318615627613595,0.328690884113708,-0.109815687559618,-0.321704401470213,-0.686427706482973,-0.382430053655447,1.29415883565299,0.583298942953077,-0.53652788995698
"95",0.0792711894093528,-0.34385579490854,0.117611943080755,-0.682338738207857,-0.40526643753187,0.68515146510028,0.673939941438425,0.0481189157059444,-1.32099861205375,-0.0294758673999378,-0.284507723366647,-0.790864982582019,-0.0745850870708915,-0.474685589263963,-0.940070479907487,-0.285532290236252,0.0482289268949617,0.465606035778218,1.55163220276865,1.0659032598579,0.163614092884834,-0.951898570084404,-0.686427706482973,0.0206242022549433,0.417938887267957,-0.430820702795497,0.176806677751565
"96",-0.140782934545549,-0.414870752663925,1.02645842965456,1.59568684905528,-0.280646979785544,0.316930547302319,0.420749597036054,-0.144174937557698,-0.635340671496186,-0.601131606367755,-0.540347045294257,-1.91965089576692,0.787522812040511,-0.143873245320016,0.4548381432012,-0.676192070439606,-1.44676252234945,0.147677764824462,0.23054301510252,0.767979166701663,0.401182467183243,-0.585135769170006,1.65789484019709,1.25020767251173,0.408352536402519,-1.76020039741239,-0.962245588110504
"97",0.0107035146278847,0.0609323295882597,-0.608938122149572,-0.682338738207857,-0.570929750507687,0.166778671011492,0.2937853796171,-0.0267102005722034,-0.687330462745038,0.722028699864699,0.862278402428855,0.426031252220967,1.95303653287524,-0.0385749717371267,0.424217147341319,-1.34702914611916,0.194866209560716,-0.429509999519434,1.0231965277022,-0.322467513896811,-0.514686425944672,0.0779312469389436,-0.558577319926261,-0.578193567260491,1.36556106805842,0.742859934745359,-0.431459935268477
"98",0.12809120840431,-0.231940156169138,-0.40285135634526,-0.682338738207857,-0.503258205558975,0.190027809493594,0.34027213312389,0.090423562352958,-1.27916476240038,0.48876648341386,-0.145436563613312,-0.601032831713624,-0.378636934897095,-2.31308475582632,1.38096896626496,-1.06487306924754,-0.519844093425628,0.141210307252673,0.318615627613595,-0.271309490410694,-1.19903171114704,-0.438855015621606,-0.448210656393302,0.175810569981451,1.56811278548957,-0.348355874650591,-0.825430810908134
"99",-0.228661213281011,-0.166887490545913,-0.704760573573439,0.131241828671833,-0.221870931660091,-0.304717285871526,-0.376605649185717,-0.231185077834742,0.831241097398713,0.698798935660854,0.386603409323708,0.980168632966318,0.948913475766385,0.406843518629683,0.958325712902708,-1.12587354163997,-0.333694934463851,-0.210536161859618,-0.47403788498608,0.782938837968,0.694236152118625,-0.513147228571982,-0.448210656393302,0.494600335220716,-0.14484597906455,-0.57864147771461,-0.126575402862198
"100",-0.374388620193907,0.0509705012284932,-1.05075485872353,0.782106282175586,-0.0268529444799748,-0.584760272545429,-0.666268809475709,-0.35093023515081,1.09575540186775,0.530054254585779,0.534883294829367,0.353049185339206,-0.894379855038175,1.16071484563896,-2.14949737589802,-0.446479796628777,-0.959200348777811,-0.635951861305544,-0.29789265996393,-0.838811174924807,0.713927042339779,1.72802860258496,1.09693364226722,0.915693302990019,-1.17477848777876,0.444382374690772,-1.21664997809692
"101",-0.279072978955029,-0.22899069330305,-0.378811014809361,-0.519622624831919,-0.292970475735928,-0.398650955209406,-0.431715458648905,-0.268788055843004,-0.784790949161381,0.366909522652682,-0.952428530678095,-0.743545217891284,-0.0970525216438408,-0.501044531101918,0.319970729648344,-0.558951718493541,-0.890708413467713,0.411965293349003,-0.209820047452855,0.833722612673973,0.214489005255502,-0.709543506332455,0.934001955034355,0.861793096465309,-0.764520942804004,-0.0604988438771481,-0.945292638612878
"102",-0.441400205612614,0.919252033043509,-0.983330062496552,-0.682338738207857,0.275350655464296,-0.728428581475396,-0.836187949264641,-0.40586520663782,1.62417733927081,0.613989065116325,0.929913440510994,0.98280316491715,0.35590601197051,0.773978117961079,-1.26683871308994,1.52656588676091,0.998779098118716,0.372700949473545,-0.826328335030381,-1.19692033559603,1.3241966847223,2.98317844469036,-0.686427706482973,-0.763807540342266,-0.707790139139514,0.919836774261444,0.927406331875173
"103",-0.361512182989089,-0.240186217095346,-0.396617663640601,0.212599885359802,0.127134086212946,-0.573068719436956,-0.586885157620827,-0.327735858259308,0.0745076450287857,-0.146091416671602,0.0562811818657318,0.190840188214237,-0.0901727007021271,-0.10286762413139,1.75348072903131,-0.185494437263072,-0.123711724307851,-0.150177127735758,-0.826328335030381,0.00654496423098385,-0.584120140183717,-0.266156897434055,1.05010747715046,-0.188815229217428,-0.10037663678947,1.00968361376035,-0.627083741857998
"104",-0.401992821827195,0.113167914541955,0.170062396544627,-0.682338738207857,0.594376132448709,-0.646795445428785,-0.71890153369737,-0.360578696089084,-0.73621240854362,-0.376198409838286,0.0118226440737488,0.693685890852576,1.24877149876446,-0.358719728011642,0.930994109233336,0.327916500296757,-0.871596487579986,-0.913625670575908,-0.914400947541456,0.930582737038474,0.352130538055011,-0.772466146080973,-0.686427706482973,1.10145065973344,-0.0303328177735301,-1.31823098046328,-0.475774161850116
