"","UC","DISTRICT","TEHSIL","fertility","elevation","poverty","distance_to_cities","Population","child_population","population_density","OutreachProportion","TotalOutreachCoverage","TotalClinicsCoverage"
"11","106/10-R","Khanewal","Jehanian",8.79623390066213,127.206896551724,0.595845286188454,20.2758620689655,9240.43290289847,1020.777774,4584239.79161071,1,0.704364866000697,0
"12","109 SB","Sargodha","Sargodha",12.0158366716825,185.761904761905,0.27058190533093,7.88888888888889,35480.1591506244,3640.90411,7928960.85285378,0.947404844290657,0.376005508148359,0.0208739361718592
"13","109/12.L","Sahiwal","Chichawatni",11.7202372437432,158.244444444444,0.39911172191302,7.4,21663.3592031294,2169.706584,7205429.63151898,0.898507462686567,0.416185306648818,0.0470109648706306
"14","109/EB","Pakpattan","Arifwala",15.2960643159582,152.31914893617,0.548747121653658,11.6595744680851,25266.2903059074,2651.372035,8155653.7402152,0.930114358322745,0.552166946273159,0.0414879536134204
"15","11 M","Lodhran","Dunyapur",7.44626737634341,119.84,0.669696953296661,7.74,28647.490113679,3212.487568,8237195.54507672,1,0.115798113494832,0
"16","11 SB","Sargodha","Bhalwal",9.64119052267694,192.184210526316,0.53282732908663,11.8552631578947,21506.6973574643,2182.00206,3999046.63009381,0.898919262555626,0.64802871909296,0.0728688587947529
"17","110/12-L","Sahiwal","Chichawatni",9.79382372939068,157.173913043478,0.400318520224613,15.2826086956522,25104.1326658146,2514.31929,7608620.06810493,1,0.196872370970832,0
"18","110/WB","Vehari","Mailsi",18.2290870285034,127.24,0.60665337562561,31.92,13908.485377627,1572.862572,7792336.89139456,1,0.130971391695116,0
"19","111 NB","Sargodha","Sillanwali",26.0793134669463,178.085106382979,0.322641520424092,11.531914893617,44994.4044851832,4786.723352,13331768.8789814,0.958056383222553,0.87324871161679,0.038230745030113
"20","112/7.R","Sahiwal","Chichawatni",7.5178378423055,154.083333333333,0.366928448279699,15.4166666666667,5875.92016039478,592.185384,6640104.59849581,1,0.346175379431519,0
"21","112/9.L","Sahiwal","Sahiwal",11.6902041106388,158.111111111111,0.650697081177323,24.9814814814815,28189.8893825164,2881.916705,7045785.76999607,1,0.371627673395925,0
"22","113 SB","Sargodha","Sargodha",14.9350048016898,183.481012658228,0.316710015263738,11.620253164557,39679.1656065672,4121.167515,7016665.08027953,0.78562134027326,0.585998989657667,0.159906142519421
"23","114/9.L","Sahiwal","Sahiwal",13.5115753000433,159.285714285714,0.531696358594027,13.6,33955.5947705976,3465.802795,9379948.28202619,0.943839541547278,0.47521457434799,0.0282762770407426
