"","UC","PROVINCE","DISTRICT","TEHSIL","UC_C","Flood","Area","TOWN","U_R","PROVINCE_C","DISTRICT_C","TEHSIL_C","UC_NAME","Data_Sourc","Level","School","New_Name","Shape_Leng","Shape_Area","id","attr","fertility","elevation","poverty","distance_to_cities","Population","child_population","population_density"
"17","110/12-L","Punjab","Sahiwal","Chichawatni",0,"110/12-L",0,NA,NA,6,0,0,NA,"Alhasan","1",0,NA,0.248506681563,0.00329943306948,"2184",0.400318520224613,9.79382372939068,157.173913043478,0.400318520224613,15.2826086956522,25104.1326658146,2514.31929,7608620.06810493
"18","110/WB","Punjab","Vehari","Mailsi",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.259004919253,0.00178489271851,"2622",0.60665337562561,18.2290870285034,127.24,0.60665337562561,31.92,13908.485377627,1572.862572,7792336.89139456
"19","111 NB","Punjab","Sargodha","Sillanwali",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.263666597058,0.00337497633612,"2353",0.322641520424092,26.0793134669463,178.085106382979,0.322641520424092,11.531914893617,44994.4044851832,4786.723352,13331768.8789814
"20","112/7.R","Punjab","Sahiwal","Chichawatni",0,"112/7.R",0,NA,NA,6,0,0,NA,"Alhasan","1",0,NA,0.214997961156,0.000884913795142,"2704",0.366928448279699,7.5178378423055,154.083333333333,0.366928448279699,15.4166666666667,5875.92016039478,592.185384,6640104.59849581
"21","112/9.L","Punjab","Sahiwal","Sahiwal",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.396130155466,0.0040009574947,"2153",0.650697081177323,11.6902041106388,158.111111111111,0.650697081177323,24.9814814814815,28189.8893825164,2881.916705,7045785.76999607
"22","113 SB","Punjab","Sargodha","Sargodha",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.375372450197,0.00565498925096,"2402",0.316710015263738,14.9350048016898,183.481012658228,0.316710015263738,11.620253164557,39679.1656065672,4121.167515,7016665.08027953
"23","114/9.L","Punjab","Sahiwal","Sahiwal",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.276680384358,0.00362001940199,"2707",0.531696358594027,13.5115753000433,159.285714285714,0.531696358594027,13.6,33955.5947705976,3465.802795,9379948.28202619
"24","115/15-L","Punjab","Khanewal","Mian Channu",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.283979724667,0.00404281592917,"806",0.594426341611764,13.9643103198001,138.724137931034,0.594426341611764,25.551724137931,31022.3193459531,3313.853532,7673443.43384986
"25","116/7CR","Punjab","Sahiwal","Chichawatni",0,"116/7CR",0,NA,NA,6,0,0,NA,"Alhasan","1",0,NA,0.211438837848,0.00198813722374,"2183",0.391041351902869,6.88373328408887,152.451612903226,0.391041351902869,14,11131.235810956,1115.46123,5598826.71982591
"26","118 NB","Punjab","Sargodha","Sillanwali",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.241462934449,0.00288836876377,"2352",0.371941253906343,9.84140518816506,174.317073170732,0.371941253906343,22.9512195121951,24187.0144775822,2574.814584,8373935.75950894
"27","118/12-L","Punjab","Sahiwal","Chichawatni",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.223509122641,0.00222073999937,"2182",0.470647457055748,13.3600136484419,154.75,0.470647457055748,15.40625,19896.1945848319,1992.715164,8959263.39439838
"28","119/9.L","Punjab","Sahiwal","Sahiwal",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.224065323176,0.00198190554987,"2708",0.51724484456437,10.2172486782074,156.75,0.51724484456437,19.1071428571429,19341.6031571396,1976.272412,9759094.30114282
"29","12-AH","Punjab","Khanewal","Khanewal",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.266583471845,0.00380185995228,"832",0.480268917701862,14.6491595979007,138.12962962963,0.480268917701862,10.2962962962963,26138.1961687819,2835.050684,6875107.57809653
"30","123/7ER","Punjab","Khanewal","Mian Channu",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.392458898742,0.00950926049195,"804",0.412372554305696,18.6843906032096,151.102189781022,0.412372554305696,7.00729927007299,93907.2516012181,9996.883157,9875347.47635892
"31","124/15-L","Punjab","Khanewal","Mian Channu",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.256002491108,0.00452858296382,"803",0.666805855252526,10.6826294990686,140.969696969697,0.666805855252526,36.469696969697,28172.7091512759,2994.816545,6221087.12070748
"32","124/EB","Punjab","Vehari","Burewala",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.163729065656,0.00159556235934,"2671",0.676891609378483,10.8346658789593,143.478260869565,0.676891609378483,25.8695652173913,12366.8182797115,1283.17134,7750758.35006978
"33","124/WB","Punjab","Vehari","Mailsi",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.268064339957,0.00125153572466,"2621",0.538703734937467,10.3647168159485,125.333333333333,0.538703734937467,23.0526315789474,12266.6817052058,1387.755828,9801303.68115398
"34","126 SB","Punjab","Sargodha","Sillanwali",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.208493539658,0.00184245349933,"2351",0.347078693133813,11.1234215277213,177.555555555556,0.347078693133813,16.7407407407407,11654.599593658,1239.73868,6325586.8318501
"35","126/15-L","Punjab","Khanewal","Mian Channu",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.353258279293,0.00444474771909,"802",0.683316963822094,12.4645946417282,144.10447761194,0.683316963822094,42.8358208955224,41296.9556017995,4396.993456,9291181.00998867
"36","127/10-R","Punjab","Khanewal","Jehanian",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.221169712715,0.0021084494165,"2699",0.783147992509784,12.6397777542923,119.264705882353,0.783147992509784,10,18104.4631993354,2001.289103,8586624.39689381
"37","129 NB","Punjab","Sargodha","Sillanwali",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.230825532856,0.00256463041201,"2350",0.459432638608492,7.37279917691883,168.692307692308,0.459432638608492,32.0512820512821,11708.4788991582,1247.31902,4565366.94111094
"38","129/16-L","Punjab","Khanewal","Mian Channu",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.246151396837,0.00311219201699,"801",0.593869117173282,23.1841917688196,143.325581395349,0.593869117173282,22.4545454545455,22169.990845719,2368.233711,7123593.50730584
"39","129/9.L","Punjab","Sahiwal","Sahiwal",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.369011401872,0.00553936465167,"2152",0.638584970673428,17.5452390984644,159.435897435897,0.638584970673428,26.4303797468354,46395.4873918652,4730.096444,8375597.2587719
"40","13/EB","Punjab","Pakpattan","Arifwala",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.3674085303,0.0064937259366,"1756",0.655299037060839,11.5615150552047,157.81914893617,0.655299037060839,12.9574468085106,52932.7450920351,5680.270949,8151367.27494074
"41","131 NB","Punjab","Sargodha","Sillanwali",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.254596370663,0.00319427905001,"2349",0.507836518639868,9.61053469906683,170.744186046512,0.507836518639868,59.0454545454545,15848.6073435077,1683.366474,4961560.0563946
"42","131/16-L","Punjab","Khanewal","Mian Channu",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.343050128509,0.00637252195758,"800",0.588382806866727,17.068332847796,141.276595744681,0.588382806866727,24.3723404255319,47836.3044013695,5145.76938,7506651.95346547
