"","PROVINCE","DISTRICT","TEHSIL","UC","UC_C","Flood","Area","TOWN","U_R","PROVINCE_C","DISTRICT_C","TEHSIL_C","UC_NAME","Data_Sourc","Level","School","New_Name","Shape_Leng","Shape_Area","id","penta3_in_clinic","penta3_out_clinic"
"487","Punjab","Lodhran","Lodhran","LODHRAN",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.171089698159,0.00162223274665,"487",0,161
"488","Punjab","Lodhran","Lodhran","RAILWAY STAT",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.208188060627,0.00141005204494,"488",0,154
"489","Punjab","Lodhran","Kehror Pacca","DHANOT",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.409441722705,0.00624440490778,"489",88,1284
"490","Punjab","Lodhran","Dunyapur",NA,0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.194774533571,0.00226678487198,"490",0,0
"491","Punjab","Lodhran","Dunyapur","JALLAH ARAIN",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.392875622742,0.00713583242073,"491",418,226
"492","Punjab","Lodhran","Lodhran","WAHI SALAMAT",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.49652645434,0.00381382101022,"492",41,35
"493","Punjab","Lodhran","Lodhran","SUMRA",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.272943194194,0.00292658399746,"493",131,252
"494","Punjab","Lodhran","Lodhran","SALSADAR",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.25320229195,0.00325803032656,"494",0,33
"495","Punjab","Lodhran","Lodhran","SAGWAN",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.309743178759,0.00217148557697,"495",150,121
"496","Punjab","Lodhran","Lodhran","SADULLAH PUR",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.185462029088,0.00101198398511,"496",0,60
"497","Punjab","Lodhran","Lodhran","RAWANI",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.267595478557,0.00405230047007,"497",197,162
"498","Punjab","Lodhran","Lodhran","RAJA PUR",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.259031456473,0.00367242854299,"498",27,741
"499","Punjab","Lodhran","Lodhran","QURASHI WALA",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","1",0,NA,0.238804261401,0.00268544139569,"499",0,205
"500","Punjab","Lodhran","Lodhran","M.C.(URBAN)",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.118183440785,0.000703891752505,"500",4,254
"501","Punjab","Lodhran","Lodhran","GANGAY WALA",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.123618613446,0.000847261426912,"501",0,71
"502","Punjab","Lodhran","Lodhran","GULAB PURA",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.165419278449,0.00142021060949,"502",0,67
"503","Punjab","Lodhran","Lodhran","DIYANAT PURA",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.120126714636,0.000800761188789,"503",43,128
"504","Punjab","Lodhran","Lodhran","LAHORI",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.442179326854,0.00622175460107,"504",0,879
"505","Punjab","Lodhran","Lodhran","KUNDI",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.216592467367,0.00199953246275,"505",0,92
"506","Punjab","Lodhran","Lodhran","KAMAL PUR",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.29867586903,0.00362819857313,"506",0,606
"507","Punjab","Lodhran","Lodhran","IMAM BAKHSH",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.187087038224,0.00171847913529,"507",0,13
"508","Punjab","Lodhran","Lodhran","HAVELI",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","1",0,NA,0.25059166703,0.00387307480406,"508",129,271
"509","Punjab","Lodhran","Lodhran","GOGRAN",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.22499559676,0.00267471881933,"509",0,143
"510","Punjab","Lodhran","Lodhran","DURANWALA",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.168005060496,0.00167341694608,"510",0,146
"511","Punjab","Lodhran","Lodhran","DERA JAND",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","1",0,NA,0.347010977818,0.00596678463188,"511",383,931
"512","Punjab","Lodhran","Lodhran","DARAWRAN",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.410236483535,0.00454057051382,"512",0,1963
"513","Punjab","Lodhran","Lodhran","CHAMB KULYAR",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","1",0,NA,0.356816441984,0.00492075583063,"513",80,343
"514","Punjab","Lodhran","Lodhran","CHAT HIMTA",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.262156870832,0.00344322286453,"514",227,188
"515","Punjab","Lodhran","Lodhran","BHUTEJI",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.184178218902,0.00158837626141,"515",173,265
"516","Punjab","Lodhran","Lodhran","ADAM WAHAN",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.278067834906,0.00336084432782,"516",85,188
"517","Punjab","Lodhran","Lodhran","49 M",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.510994716941,0.00656875964731,"517",88,393
"518","Punjab","Lodhran","Kehror Pacca","TIBBI WADDAN",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","1",0,NA,0.374548450343,0.00383321240144,"518",102,529
"519","Punjab","Lodhran","Kehror Pacca","SHAHPUR PHUL",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.348414961314,0.00351596020258,"519",36,563
"520","Punjab","Lodhran","Kehror Pacca","RANA WAHIN",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.348981551311,0.00495120666514,"520",0,676
"521","Punjab","Lodhran","Kehror Pacca","NURSHAH GILL",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.296676594512,0.00405721114456,"521",0,407
"522","Punjab","Lodhran","Kehror Pacca","NAUQABIL WAH",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.291895135819,0.00284354827077,"522",57,210
"523","Punjab","Lodhran","Kehror Pacca","NASSER-UD-DI",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.380599477081,0.00613166410258,"523",26,864
"524","Punjab","Lodhran","Kehror Pacca","MASSA KOTHA",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.356098862929,0.00523601131322,"524",68,830
"525","Punjab","Lodhran","Kehror Pacca","BAKSHI WALA",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.150755645163,0.00143605332377,"525",127,92
"526","Punjab","Lodhran","Kehror Pacca","RAPPAR",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.17758316462,0.00191618752547,"526",0,262
"527","Punjab","Lodhran","Kehror Pacca","PATWARIAN WA",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.231978826046,0.00254009189757,"527",0,263
"528","Punjab","Lodhran","Kehror Pacca","JAMRANI WAH",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.242969091826,0.00257279925566,"528",0,271
"529","Punjab","Lodhran","Kehror Pacca","GAHI",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.328562064106,0.00439848506646,"529",86,269
"530","Punjab","Lodhran","Kehror Pacca","FARIDABAD",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.213557468197,0.00197861745464,"530",37,2167
"531","Punjab","Lodhran","Kehror Pacca","DAKHNA GHARO",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.239844821755,0.00239510724118,"531",0,127
"532","Punjab","Lodhran","Kehror Pacca","CHOKI MASTI",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.336589815631,0.004651370262,"532",68,385
"533","Punjab","Lodhran","Kehror Pacca","CHELEY WAHN",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.580637321517,0.00998071461845,"533",74,1032
"534","Punjab","Lodhran","Kehror Pacca","BURHANPUR",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.352635606589,0.00624509742128,"534",77,161
"535","Punjab","Lodhran","Kehror Pacca","BAHAWAL GARH",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.271768261137,0.00441030098253,"535",68,795
"536","Punjab","Lodhran","Kehror Pacca","AMIRPUR SADA",0,NA,0,NA,NA,6,0,0,NA,"Alhasan","2",0,NA,0.307501207301,0.00368043232863,"536",52,445
"537","Punjab","Lodhran","Kehror Pacca","ALI PUR KANJ",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.268459740501,0.00367912543802,"537",41,343
"538","Punjab","Lodhran","Dunyapur","LADDHA BOHAR",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.182484095967,0.0017526138678,"538",131,220
"539","Punjab","Lodhran","Dunyapur","QUTAB PUR",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.230402477652,0.00193315406804,"539",22,205
"540","Punjab","Lodhran","Dunyapur","MAKHDUM ALI",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.379643334499,0.00399555457957,"540",372,292
"541","Punjab","Lodhran","Dunyapur","JHANDIE WAH",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.283516645946,0.00392176748528,"541",0,126
"542","Punjab","Lodhran","Dunyapur","SULTAN AYUB",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.2260025787,0.0025506199421,"542",83,586
"543","Punjab","Lodhran","Dunyapur","EIDGAH WALI",0,NA,0,NA,NA,6,0,0,NA,"Alhasan",NA,0,NA,0.139864021269,0.00119393200891,"543",71,135
