"","RMSE","R2","MAE"
"470",23.3144382601519,0.0101657506411364,1.07826774380624
"471",2.71754864796543,0.0507077435467589,0.428691566992016
"472",1.01596286396893,0.0260315617062942,0.193195845173612
"473",1.01876603142471,0.00282344658099182,0.185950604345491
"474",30.7418125775,0.0105341183049757,1.39803938356894
"475",1.00210893280956,0.0589423734436435,0.185352466262008
"476",29.5610739129681,0.00998962768193808,1.35589805447182
"477",29.5382222645293,0.0107104358280023,1.36065214239924
"478",1.01308498518672,0.0501989413966354,0.200776047679464
"479",29.3994681935818,0.0102693622860742,1.33425997477467
"480",30.1669720407142,0.0105645782605301,1.37506255976492
"481",1.01904855059272,0.0106992472251422,0.194537248001438
"482",1.01575583669403,0.032600174229991,0.202653139773002
"483",29.3764054430755,0.0100268366604934,1.34381900028244
"484",32.2547535598207,0.010339615185402,1.46165865954819
"485",1.01522119136017,0.0249661463878022,0.204874674484258
"486",1.01807086880766,0.00222033990643218,0.18959571917944
"487",0.997647357902106,0.0405063301710713,0.19849635962859
"488",1.01681282323439,0.0553938688662589,0.191547084359381
"489",8.5056087079079,0.00995754341423693,0.480796529523003
"490",1.00643342333946,0.025164017370147,0.200149520802635
"491",1.01744931170126,0.0313119025870429,0.186140643826369
"492",1.01377976243798,0.0145905775814817,0.202470716202903
"493",1.0150219708859,0.0115599495080185,0.187170354186895
"494",6.75741627784456,0.0190103821712983,0.509298186302317
"495",4.24150075282995,0.0313899473524423,0.467327094591017
"496",4.82863038808365,0.019137547940874,0.402034940425092
"497",1.01897493702104,0.00555869738973371,0.189680780206673
"498",6.24353846277199,0.0178931872929364,0.464519908657131
"499",1.03178265193294,0.0400279682397223,0.186989536159532
"500",1.0251502090256,0.00534704966223101,0.18545758064873
"501",1.01526833202088,0.0238976642188651,0.199217541341558
"502",1.03703294283677,0.0407933473549415,0.190816949563479
"503",1.01563675510182,0.0253761250798455,0.192638918301153
"504",18.2362000225242,0.0100772074834714,0.868552272977925
"505",31.710244175688,0.0104166803924469,1.44111326874122
"506",5.29167343154734,0.0213895333930208,0.452037870108958
"507",4.25082208518808,0.0308243666709752,0.471014399767212
"508",30.933902606095,0.0104649890904373,1.40128343010592
"509",2.29467435046216,0.0700703371306554,0.438674209360947
"510",1.01615359767371,0.0276751519057231,0.19685884037889
"511",28.9526273586325,0.0107992875219614,1.33608284896116
"512",5.01017744756126,0.0230311326621443,0.451996835830221
"513",1.01665236010529,0.0198231422669342,0.194652530405703
"514",32.8894848387576,0.0103340167406048,1.48513452260223
"515",4.97838601476522,0.00984662290087676,0.363334631785551
"516",5.07097366362174,0.0196156711514852,0.419440074345887
"517",4.80647779279466,0.0198408624138187,0.404886921964401
"518",3.50383049012352,0.0412536946287953,0.473329613582437
"519",1.01692164047261,0.0212009756749796,0.189212928724268
"520",1.01904141829869,0.00416700477185562,0.189578666790698
"521",4.70018428475847,0.0250052721348572,0.446909628586516
"522",1.01726888607031,0.0235484051697344,0.191051957680141
"523",31.5465536194985,0.0104363831084887,1.43038855808372
"524",27.9356008856366,0.0109539596851868,1.29924896657689
"525",1.00622545559531,0.0449754804720111,0.188007426586117
"526",1.01743378664901,0.0111563821024768,0.189883038376052
"527",2.87537394383533,0.0458749277329601,0.428262261603202
"528",31.937492916635,0.0103921724586883,1.44659940216466
"529",30.598999936446,0.0104963275613233,1.39089727337639
"530",1.01555481651789,0.0242191304956398,0.196703080743222
"531",1.01405635238334,0.0142222651720765,0.194927160677752
"532",1.01194652794775,0.0156558358310483,0.190417512082721
"533",2.77317755351267,0.0497782336189257,0.431294893232778
"534",31.0553677411667,0.0105088130071962,1.41233033659208
"535",5.04628412101462,0.0101929369069607,0.360821422790457
"536",28.1582455296269,0.0101213292099952,1.28547626076431
"537",5.26883412050838,0.0201808186987342,0.436687889813386
"538",4.91435203145234,0.00964060214574603,0.360036026958975
"539",32.8396062226839,0.0103290918443175,1.48731629855429
"540",7.11320933821489,0.00970906761319642,0.443625718028567
"541",32.8338132912379,0.010311276934725,1.47935120103743
"542",1.01791764870862,0.00810880994676648,0.190983369667413
"543",4.08601568256214,0.0329686648087241,0.469177681363831
"544",29.2006632554741,0.0107340263724871,1.34273825957728
"545",4.80263231111368,0.0210093628554674,0.417311660029897
"546",31.4038962001058,0.0101220418969884,1.42061312040102
"547",32.1463625401194,0.0103955039190018,1.4535368032686
"548",3.3298771197335,0.0450640987047462,0.475000634059438
"549",4.09251698729671,0.0327828606503761,0.471800029444355
"550",1.0151599329513,0.0267626857118159,0.202384488009056
"551",4.09338605947237,0.0100888709748637,0.32418265609615
"552",2.21721464539291,0.0746824467248046,0.442208715053952
"553",4.74293141046968,0.0230685357171262,0.430494681128782
"554",1.01136265717191,0.0403737554581911,0.18784841052512
"555",1.01139545635418,0.0816521553983242,0.186384341862516
"556",4.88553539090317,0.0220769419542093,0.430903133654857
"557",0.999889099268187,0.0506018576146373,0.205350980171899
"558",1.01760645977365,0.0187923302838837,0.188931355216494
"559",4.80832343689425,0.0243788421263073,0.449493920604273
"560",0.999847395541305,0.0396369564633066,0.212005346231154
"561",1.01647570636048,0.0234162562984304,0.201998728586952
"562",4.93853149562388,0.0210403054649504,0.424559572352378
"563",5.45414671105111,0.0192962883146319,0.436106028462416
"564",1.92233423361596,0.0106349972062285,0.247467225814086
"565",32.634812557254,0.0103424402629046,1.47427992639564
"566",13.2209306536872,0.00993704128770088,0.665497736903841
"567",27.8649143612508,0.0109705085147718,1.29815283299022
"568",1.09063899079137,0.0179097798040241,0.203621546793617
"569",27.0335624337211,0.0111039903147967,1.26793000642024
"570",1.01611107131101,0.0366140621424561,0.19102674982127
"571",21.3703001046285,0.00998560702610343,1.00163572766235
"572",1.01921464122315,0.0237580945275298,0.207871786012476
"573",1.01533855193577,0.0226409732771455,0.215274185556462
"574",1.01582367718954,0.0226595408473741,0.194287387707008
"575",25.0849007026405,0.0114915168282073,1.20311072863816
"576",32.0221507130178,0.0103268887964818,1.44493413374301
"577",1.01571363762363,0.0251292218638469,0.193105866214929
"578",1.01749162326637,0.0243046618205317,0.191327776932405
"579",29.1433868350358,0.0107472820748246,1.33976167103046
"580",1.01734499786193,0.0153581043259261,0.195681084341699
"581",4.93570595546242,0.0212344031577062,0.425597823129928
"582",1.02253111727609,0.0443237810932662,0.189409367808081
"583",4.0387637913122,0.00922611701684912,0.334770126519411
