,OBJECTID,PROVINCE,DISTRICT,TEHSIL,SHAPE_Leng,Area_Sq_Km,Shape_Le_1,Shape_Area,id,penta3_in_clinic,penta3_out_clinic,,,,,,,,,
304,306,PUNJAB,BHAKKAR,DARYA KHAN,2.045100053,1384.662065,2.045100055,0.131844215,304,1919,8438,,,,,,,,,
305,307,PUNJAB,BHAKKAR,KALUR KOT,1.938066912,1749.697323,1.938066912,0.167006998,305,1062,10210,,,,,,,,,
306,308,PUNJAB,BHAKKAR,MANKERA,2.753520507,3560.984941,2.753520506,0.337580095,306,986,4752,,,,,,,,,
307,309,PUNJAB,CHAKWAL,CHAKWAL,2.431625808,2198.634029,2.43162581,0.211625246,307,3980,21040,,,,,,,,,
308,310,PUNJAB,CHAKWAL,CHOA SAIDAN SHAH,1.284637634,501.7189028,1.284637634,0.04814212,308,700,4562,,,,,,,,,
309,311,PUNJAB,CHAKWAL,KALLAR KAHAR,1.518710344,831.6598444,1.518710344,0.079859436,309,779,6465,,,,,,,,,
310,312,PUNJAB,CHAKWAL,TALA GANG,2.913187457,3161.008132,2.913187454,0.304179588,310,3167,15809,,,,,,,,,
311,313,PUNJAB,CHINIOT,BHAWANA,1.547977369,933.5254499,1.547977369,0.088453751,311,1750,13617,,,,,,,,,
312,314,PUNJAB,CHINIOT,CHINIOT,1.654682926,699.4581965,1.654682926,0.066353486,312,2616,21135,,,,,,,,,
313,315,PUNJAB,CHINIOT,LALIAN,2.451112265,983.0416609,2.451112269,0.093358465,313,1854,14710,,,,,,,,,
314,316,PUNJAB,DERA GHAZI KHAN,DE-EXCLUDED AREA D.G.KHAN,3.961722829,5400.391603,3.961722834,0.507164769,314,274,2544,,,,,,,,,
315,317,PUNJAB,DERA GHAZI KHAN,DERA GHAZI KHAN,3.019182145,3621.19031,3.019182145,0.338753255,315,12684,58106,,,,,,,,,
316,318,PUNJAB,DERA GHAZI KHAN,TAUNSA,2.636205832,2664.574149,2.636205833,0.251513981,316,6552,23540,,,,,,,,,
317,319,PUNJAB,FAISALABAD,CHAK JHUMRA,1.033828834,524.8894476,1.033828833,0.049745569,317,607,16178,,,,,,,,,
318,320,PUNJAB,FAISALABAD,FAISALABAD CITY,0.711983253,200.95029,0.711983255,0.019007108,318,1990,82491,,,,,,,,,
319,321,PUNJAB,FAISALABAD,FAISALABAD SADDAR,2.493565212,1295.256034,2.493565212,0.122435614,319,4735,48267,,,,,,,,,
320,322,PUNJAB,FAISALABAD,JARANWALA,2.29158472,1733.365502,2.291584722,0.163703285,320,5164,53556,,,,,,,,,
321,323,PUNJAB,FAISALABAD,SAMUNDARI,1.998344997,869.0343859,1.998344998,0.081899872,321,2051,23304,,,,,,,,,
322,324,PUNJAB,FAISALABAD,TANDLIANWALA,2.685672836,1355.244494,2.685672833,0.12751031,322,3226,25479,,,,,,,,,
323,325,PUNJAB,GUJRANWALA,GUJRANWALA,2.07008537,787.2483043,2.070085366,0.074868866,323,4631,37587,,,,,,,,,
324,326,PUNJAB,GUJRANWALA,GUJRANWALA CITY,0.472759845,79.39860746,0.472759844,0.007550861,324,210,43250,,,,,,,,,
325,327,PUNJAB,GUJRANWALA,KAMOKE,1.649437777,681.3004499,1.649437774,0.064660448,325,3092,19470,,,,,,,,,
326,328,PUNJAB,GUJRANWALA,NOWSHERA VIRKHAN,1.526202241,881.9196452,1.526202235,0.083769478,326,2720,18355,,,,,,,,,
327,329,PUNJAB,GUJRANWALA,WAZIRABAD,1.750099175,1211.967391,1.750099177,0.11553483,327,9337,22656,,,,,,,,,
328,330,PUNJAB,GUJRAT,GUJRAT,2.02288037,1437.931139,2.022880368,0.137498587,328,8935,50107,,,,,,,,,
329,331,PUNJAB,GUJRAT,KHARIAN,1.765562521,1267.417757,1.765562519,0.121413241,329,7665,34278,,,,,,,,,
330,332,PUNJAB,GUJRAT,SARAI ALAMGIR,1.304023851,485.8121932,1.304023849,0.046628505,330,3006,9568,,,,,,,,,
331,333,PUNJAB,HAFIZABAD,HAFIZABAD,1.432639558,1102.350742,1.432639559,0.104911762,331,1667,23551,,,,,,,,,
332,334,PUNJAB,HAFIZABAD,PINDI BHATTIAN,1.586322972,1179.651342,1.586322972,0.112138564,332,1445,15568,,,,,,,,,
333,335,PUNJAB,JHANG,18-HAZARI,2.823827462,1656.389408,2.82382746,0.156673433,333,645,15731,,,,,,,,,
334,336,PUNJAB,JHANG,AHMEDPUR SIAL,1.60514279,862.8911235,1.605142795,0.081254903,334,932,13829,,,,,,,,,
335,337,PUNJAB,JHANG,JHANG,3.519360407,2615.343305,3.519360399,0.247510805,335,4313,55213,,,,,,,,,
336,338,PUNJAB,JHANG,SHORKOT,2.403544303,1227.900047,2.403544305,0.115646879,336,907,18904,,,,,,,,,
337,339,PUNJAB,JHELUM,DINA,2.121086229,724.8865278,2.12108623,0.069687898,337,2663,7876,,,,,,,,,
338,340,PUNJAB,JHELUM,JHELUM,2.178284953,605.6970968,2.178284956,0.05812378,338,3878,12680,,,,,,,,,
339,341,PUNJAB,JHELUM,PIND DADAN KHAN,2.225782844,1347.723501,2.225782845,0.129115103,339,3880,12996,,,,,,,,,
340,342,PUNJAB,JHELUM,SOHAWA,2.061695422,911.996249,2.061695421,0.087725211,340,2166,6499,,,,,,,,,
341,343,PUNJAB,KASUR,CHUNIAN,1.829771067,1181.824037,1.829771068,0.110947596,341,2577,18298,,,,,,,,,
342,344,PUNJAB,KASUR,KASUR,2.922866467,1458.187474,2.922866472,0.13705006,342,5320,33690,,,,,,,,,
343,345,PUNJAB,KASUR,KOT RADHA KISHAN,1.075008566,429.9614686,1.075008564,0.040471378,343,2486,12563,,,,,,,,,
344,346,PUNJAB,KASUR,PATTOKI,1.452080899,844.6348954,1.452080896,0.079517182,344,3613,14625,,,,,,,,,
345,347,PUNJAB,KHANEWAL,JAHANIAN,1.45683001,499.7275092,1.456830011,0.046703746,345,2400,14574,,,,,,,,,
346,348,PUNJAB,KHANEWAL,KABIRWALA,2.096329038,1649.337823,2.096329038,0.154822349,346,2144,42960,,,,,,,,,
347,349,PUNJAB,KHANEWAL,KHANEWAL,1.862525465,1192.841769,1.862525472,0.111678582,347,2720,41143,,,,,,,,,
348,351,PUNJAB,KHUSHAB,KHUSHAB,3.218074331,2948.082752,3.218074331,0.282120634,348,3332,29587,,,,,,,,,
349,352,PUNJAB,KHUSHAB,NOORPUR,2.357705293,2401.751618,2.357705294,0.228638042,349,403,9939,,,,,,,,,
350,353,PUNJAB,KHUSHAB,QAIDABAD,1.852782537,1281.146952,1.85278254,0.122537655,350,812,11114,,,,,,,,,
351,354,PUNJAB,LAHORE,LAHORE CANTT,1.896885665,1037.438417,1.850643339,0.097904132,351,5059,62631,,,,,,,,,
352,355,PUNJAB,LAHORE,LAHORE CITY,1.788990137,656.331331,1.788990136,0.06193089,352,10849,63680,,,,,,,,,
353,356,PUNJAB,LAYYAH,CHAUBARA,2.259733,2940.547238,2.259733002,0.277324077,353,1663,9407,,,,,,,,,
354,357,PUNJAB,LAYYAH,KAROR LAL ESAN,1.771936617,1417.970671,1.771936618,0.134190706,354,6067,17812,,,,,,,,,
355,358,PUNJAB,LAYYAH,LAYYAH,2.083398146,2022.488508,2.083398145,0.190730582,355,14077,32537,,,,,,,,,
356,359,PUNJAB,LODHRAN,DUNYA PUR,1.797124043,806.7679284,1.797124041,0.075233354,356,3118,15663,,,,,,,,,
357,360,PUNJAB,LODHRAN,KARORPACCA,1.694936498,714.550969,1.694936501,0.066497883,357,1841,24575,,,,,,,,,
358,361,PUNJAB,LODHRAN,LODHRAN,1.886046316,1142.963953,1.886046313,0.106353192,358,4259,27259,,,,,,,,,
359,362,PUNJAB,MANDI BAHAUDDIN,MALAKWAL,1.4936461,749.1371911,1.493646097,0.071601917,359,3347,16496,,,,,,,,,
360,363,PUNJAB,MANDI BAHAUDDIN,MANDI BAHAUDDIN,1.355416359,878.7703241,1.355416357,0.084060353,360,6691,27656,,,,,,,,,
361,364,PUNJAB,MANDI BAHAUDDIN,PHALIA,1.909460334,1140.882815,1.90946034,0.108891981,361,1971,21482,,,,,,,,,
