"","TEHSIL","X","fertility","elevation","poverty","night_lights","distance_to_lakes_rivers","distance_to_cities","Population","child_population","population_density","radio","electricity","television","mobile_phone","card","antenatal_care","age","mothers_age","school_level","urban_to_rural","penta3_in_clinic","penta3_out_clinic","fac_number","OutreachProportion","TotalOutreachCoverage","TotalClinicsCoverage","teh_obs","edu_mode"
"27","DERA GHAZI KHAN",27,9.25829772289303,142.447422258592,0.618525225727067,0.658009737730026,35,38.833674304419,1803594.7822832,244600.716959,5324213.87492304,0.0991596638655462,0.849706129303107,0.410579345088161,0.779177162048699,0.175392670157068,0.637096774193548,2.12379110251451,27.6542416452442,3.6507413509061,0.329202802802803,14159,79232,34,0.848390101829941,0.323923825674153,0.0578861753801537,607,5
"28","DINA",28,9.87589809788232,331.480519480519,0.342821570057533,NA,9,25.1516966067864,361625.820499438,33716.820729,5189219.79797747,0.14161220043573,0.997826086956522,0.83695652173913,0.915217391304348,0.903846153846154,0.873873873873874,1.91379310344828,29.0246734397678,3.55460750853242,0.34611012886927,3028,10096,12,0.769277659250229,0.299435112258861,0.0898068066481607,586,4
"29","DUNYA PUR",29,12.3741613587883,120.008310249307,0.706751694190084,0.591921001672745,0,20.2412199630314,527545.66001912,59155.96614,7012124.66298002,0.0560165975103734,0.946058091286307,0.510373443983402,0.898340248962656,0.203883495145631,0.945054945054945,2.07258064516129,28.2979719188768,3.41639344262295,0.402816924870898,3324,20406,17,0.85992414664981,0.34495252687965,0.0561904439551091,305,2
"30","FAISALABAD CITY",30,125.684172964795,183.769230769231,0.357460750987495,0.458514988422394,0,0,3306004.27715914,318990.430656,173935151.449337,0.037344398340249,0.998618784530387,0.795580110497238,0.893572909467864,0.537313432835821,0.916216216216216,1.98033126293996,28.1233243967828,3.5620875824835,0.527357802181985,2517,111026,7,0.977832186924777,0.348054328061429,0.0078905188310001,1667,5
"31","FAISALABAD SADDAR",31,44.5982968405788,179.54297097325,0.489881034713614,0.449097007513046,0,7.36482640865111,1456460.50457863,153249.882171,11895725.9233242,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5911,63601,50,0.914964322706871,0.41501500098403,0.0385709921356048,NA,NA
"32","FATEH JANG",32,4.7181343734914,480.145981410607,0.488432604837847,0.548298001289368,0,26.206444565811,338325.102530492,30952.700811,2665655.59462906,0.098159509202454,0.997955010224949,0.777096114519427,0.895918367346939,0.464285714285714,0.834862385321101,1.92779783393502,29.1242857142857,3.49887640449438,0.425725359911406,4506,8588,14,0.65587291889415,0.277455594341803,0.14557695716164,445,2
"33","FEROZEWALA",33,18.815260318827,207.798412698413,0.34669311486765,0.377963006496429,6,2.97297297297297,656705.667221647,75287.323317,15096535.7695343,0.0659062103929024,0.988607594936709,0.80379746835443,0.872151898734177,0.369369369369369,0.845559845559846,2.033527696793,27.4232977850697,3.31917808219178,0.447772621715562,4256,21688,11,0.83595436324391,0.288069744606033,0.0565301011178198,730,2
"34","FORT ABBAS",34,3.49679300610209,139.115845959596,0.862599338623605,0.752008001009623,0,113.488255559035,453544.081434717,49017.089091,2042272.50780782,0.0573122529644269,0.925343811394892,0.463654223968566,0.868369351669941,0.394736842105263,0.728476821192053,2.00252525252525,28.5095890410959,3.25162689804772,0.324577831132453,644,8214,7,0.927297358320163,0.167574210389172,0.013138275077992,461,2
"35","GOJRA",35,20.1297330907051,166.452025586354,0.404059277096791,0.496692001819611,0,12.7686567164179,773022.286900879,78593.891243,11848500.0053508,0.0570032573289902,0.996742671009772,0.737785016286645,0.907166123778502,0.425,0.872611464968153,2.01243781094527,28.377802690583,3.51863354037267,0.428106708420445,2705,24370,22,0.900092336103416,0.31007498947535,0.0344174331773008,644,4
"36","GUJAR KHAN",36,9.39125896151928,485.492464754497,0.365778209871465,0.45818567276001,7,21.9110787172012,778249.290445082,74683.8780079999,5448487.37576854,0.119311193111931,0.997542997542998,0.871007371007371,0.950920245398773,0.685714285714286,0.952380952380952,1.95881006864989,29.0868443680138,3.65460186142709,0.34796925122814,4936,18567,32,0.789984257328852,0.248607872210535,0.066091908075144,967,5
