"","TEHSIL","X","PROVINCE","DISTRICT","fertility","elevation","poverty","night_lights","distance_to_lakes_rivers","malaria_instance","distance_to_cities","Population","child_population","population_density","radio","electricity","television","mobile_phone","card","school_boolean","antenatal_care","age","mothers_age","school_level","urban_to_rural","OutreachProportion","TotalOutreachCoverage","TotalClinicsCoverage","fac_number"
"1","18-HAZARI",47,"PUNJAB","JHANG",4.62806009249331,155.796625222025,0.601102675851501,0.595201760530472,30,0,56.0106761565836,497107.628390812,52406.730413,3172890.38253992,0.0453781512605042,0.899328859060403,0.236974789915966,0.836974789915966,0.246511627906977,0.421487603305785,0.697142857142857,2.07438016528926,28.4214876033058,2.82913165266106,0,0.96236487388229,0.275193660935247,0.0107619764781223,14
"2","AHMADPUR EAST",12,"PUNJAB","BAHAWALPUR",14.166610704767,102.583038869258,0.8124977762952,0.66727802157402,45,0,26.1,1113662.97068812,135026.127508,8113506.16722642,0.054590570719603,0.866004962779156,0.424317617866005,0.738213399503722,0.448780487804878,0.450417052826691,0.770212765957447,2.03316749585406,27.9972196478221,3.36625514403292,0.434477832784933,0.838330461420639,0.16213899046096,0.0312680225517825,27
"3","AHMEDPUR SIAL",48,"PUNJAB","JHANG",7.82048832933517,138.224699828473,0.560411954463296,0.589007019996643,30,0,22.393991416309,457973.186314506,50576.470073,5636252.95258511,0.0571992110453649,0.877952755905512,0.326771653543307,0.822834645669291,0.28921568627451,0.456521739130435,0.660714285714286,1.99033816425121,28.5028985507246,3.26349206349206,0.399887961776664,0.941930698315143,0.175753665433155,0.0108350780354785,10
"4","ALIPUR",84,"PUNJAB","MUZAFFARGARH",9.65638034041125,98.915961305925,0.81460386554304,0.731999009847641,27,0,42.360338573156,628935.260926206,83185.675714,5469468.74074551,0.0556621880998081,0.842911877394636,0.432950191570881,0.676245210727969,0.520325203252033,0.416098226466576,0.8,2.17117117117117,28.1350613915416,3.63934426229508,0.31045408492217,0.780551905387648,0.0642658721482295,0.0180680145601925,17
"5","ARIFWALA",98,"PUNJAB","PAK PATTAN",13.9440149195683,155.023642172524,0.566934847900369,0.527584989865621,5,0,14.4561740243122,856193.818890465,89899.8016049999,7910231.97213224,0.027603513174404,0.958646616541353,0.654135338345865,0.823308270676692,0.593073593073593,0.531548757170172,0.827586206896552,1.99616122840691,28.2007648183556,3.38129496402878,0.404511877177945,0.934481109516977,0.326029640518916,0.0228587823700571,30
"6","ATTOCK",1,"PUNJAB","ATTOCK",7.53493402655187,410.912614980289,0.41399349327114,0.651746511459351,2,0,42.2393162393162,393456.659553904,37452.829191,3713819.74573809,0.123115577889447,0.992462311557789,0.763819095477387,0.917085427135678,0.575,0.667247386759582,0.908045977011494,2.01293103448276,28.616724738676,3.67362924281984,0.43952617968362,0.80557807686071,0.132646854918875,0.0320136028679009,10
"7","BAHAWALNAGAR",7,"PUNJAB","BAHAWALNAGAR",8.63854315711018,155.212710280374,0.573597426690885,0.617929657300313,7,0,25.7322424693194,939143.134216927,105054.697708,5027249.87551662,0.0264797507788162,0.93944099378882,0.501552795031056,0.770186335403727,0.346456692913386,0.466520307354555,0.722826086956522,1.96631578947368,28.4401756311745,3.43058823529412,0.406758902938122,0.941650183667703,0.253772564022806,0.0157251416266195,35
"8","BAHAWALPUR",13,"PUNJAB","BAHAWALPUR",15.6701441495703,114.598355471221,0.783578614657774,0.517292991280556,22,0,25.0929791271347,1055597.95547099,114256.993429,9628872.65871609,0.0421686746987952,0.933734939759036,0.487951807228916,0.742971887550201,0.669491525423729,0.502103786816269,0.81021897810219,1.96449704142012,27.7180925666199,3.52513966480447,0.407957301250589,0.9186401340955,0.187069511970678,0.0165679136408952,16
"9","BAHAWALPUR CITY",14,"PUNJAB","BAHAWALPUR",18.2712192831617,114.369230769231,0.745942277776683,0.574275016784668,15,0,18.2730061349693,202797.565078761,21939.131049,8880425.46142568,0.0570469798657718,0.954697986577181,0.582214765100671,0.73993288590604,0.586206896551724,0.552147239263804,0.849624060150376,2.0625,28.1950920245399,3.62888888888889,0.487840620536511,0.904028972385695,0.27307371411472,0.0289892976426242,4
"10","BHAKKAR",18,"PUNJAB","BHAKKAR",6.66565474292313,165.587740384615,0.724675492037279,0.589412748813629,2,0,32.7732371794872,662595.031514009,75802.791119,3811204.39346566,0.0520325203252033,0.952922077922078,0.530081300813008,0.830894308943089,0.6,0.519108280254777,0.722972972972973,2.09876543209877,28.468152866242,3.42740286298568,0.320755482392901,0.895153641881639,0.249027769576,0.029167791414554,18
"11","BHALWAL",117,"PUNJAB","SARGODHA",11.7942940875281,195.143342776204,0.539688510642122,0.497185498476028,0,0,14.679117147708,890393.191274237,90377.123062,7265878.58060762,0.056047197640118,0.982300884955752,0.671091445427729,0.874446085672083,0.566037735849057,0.634984833164813,0.836842105263158,1.91120507399577,28.4064711830131,3.34554140127389,0.424109676429123,0.880946711748179,0.204686754493274,0.0276618674649,31
"12","BHAWANA",26,"PUNJAB","CHINIOT",9.00301600724623,170.90157480315,0.552538768206752,0.539451494812965,6,0,23.3435534591195,632850.140117841,63170.751068,7154587.91578906,0.0176600441501104,0.927312775330396,0.451541850220264,0.698237885462555,0.448275862068966,0.390784982935154,0.666666666666667,2.05592105263158,28.4829351535836,3.12663755458515,0.279228802040724,0.857776594800816,0.153045512939887,0.025375667898494,18
"13","BUREWALA",134,"PUNJAB","VEHARI",14.1296636639112,145.963914977756,0.527599605277733,0.549842014908791,6,0,20.9851851851852,1135909.90667152,117974.296865,8098371.77637928,0.015990159901599,0.959509202453988,0.668711656441718,0.85398773006135,0.640552995391705,0.619090098126673,0.889473684210526,1.99221789883268,28.9625334522748,3.47118155619597,0.431844152198425,0.90392435949573,0.226091620876727,0.0240306581631433,31
"14","CHAK JHUMRA",32,"PUNJAB","FAISALABAD",13.7879435527358,189.423023578363,0.429166840242116,0.452661991119385,0,0,6.9500693481276,417323.469800752,43314.854371,8389158.60677157,0.037037037037037,0.989473684210526,0.792982456140351,0.905263157894737,0.58,0.761627906976744,0.937931034482759,1.88385269121813,28.2337209302326,3.51145038167939,0.448809534767525,0.966995990836197,0.311832977304044,0.010643000113805,16
"15","CHAKWAL",22,"PUNJAB","CHAKWAL",5.79824989965592,472.32118226601,0.312416692075667,0.50925699621439,0,0,31.767816091954,737022.428455009,67224.957881,3482677.23736876,0.0968660968660969,0.992887624466572,0.821937321937322,0.877667140825036,0.315789473684211,0.817,0.934782608695652,2,29.094,3.62132352941176,0.359353188185513,0.856235658252842,0.23867623730464,0.0400744021999814,33
"16","CHAUBARA",68,"PUNJAB","LAYYAH",1.61509481089558,145.71675,0.774812699258328,0.746236407756805,0,0,62.99975,262461.886837103,30654.287926,946408.582679027,0.0725663716814159,0.542402826855124,0.27208480565371,0.881625441696113,0.645833333333333,0.35693215339233,0.536170212765957,2.00680272108844,27.7345132743363,2.55096418732782,0,0.855862165569408,0.199319586700224,0.0335678976619527,8
"17","CHICHAWATNI",115,"PUNJAB","SAHIWAL",14.3499591548494,153.749530956848,0.504868040974014,0.453020989894867,3,0,19.4626935710934,1230347.14624386,123338.692326,8271870.76138356,0.0738569753810082,0.946943483275663,0.66320645905421,0.860438292964245,0.409090909090909,0.611734253666954,0.896551724137931,1.93621013133208,28.0025884383089,3.5225988700565,0.378210252141233,0.918600623484586,0.193515915807781,0.0171479035500862,44
"18","CHINIOT",27,"PUNJAB","CHINIOT",13.5477556724488,181.98121085595,0.43497073045879,0.44437500834465,5,0,12.269392033543,467005.435694354,46668.786885,7038144.74564358,0.036741214057508,0.960063897763578,0.562300319488818,0.8256,0.537037037037037,0.449026345933562,0.719101123595506,1.97045454545455,28.020618556701,3.29081632653061,0.423828234695323,0.923267076985168,0.392146469225713,0.0325913764107048,16
