"","X","DISTRICT","District","OBJECTID","PROVINCE","Shape_Leng","ADMIN_UNIT","Shape_Le_1","Shape_Le_2","Shape_Area","id","fertility","elevation","poverty","night_lights","distance_to_lakes_rivers","malaria_instance","Population","child_population","population_density","electricity.x","radio.x","television.x","television","mobile_phone","dtp_boolean","card","school_boolean","antenatal_care","age","mothers_age","dtp_number","school_level","wm_urban","hh_urban","ch_urban","urban_to_rural","vaccinations","penta1","penta2","penta3","pentavalent1_vacc_per_capita","pentavalent2_vacc_per_capita","pentavalent3_vacc_per_capita","penta1_in_clinic","penta3_in_clinic","penta1_out_clinic","penta3_out_clinic"
"1",1,"ATTOCK","ATTOCK",88,"PUNJAB",4.74205429734,"DISTRICT",4.74205429943,4.74205429943,0.662319820976,85,5.20146250324388,402.266282118511,0.407938553853127,0.685066819190979,9,0,2045561.04437928,392790.114035,3088479.28084793,0,0,0,0.756910569105691,0.908167411621292,0.795454545454545,0.592391304347826,0.656392694063927,0.863013698630137,1.9208128941836,29.050799086758,2.76639344262295,3.50521739130435,0.440827655816301,0.447579240682689,0.424922118380062,0.437776338293017,0,12588,14242,14897,0.032047649750366,0.0362585500273842,0.0379261072713062,19091,0,-219823,-181762
"2",2,"BAHAWALNAGAR","BAHAWALNAGAR",89,"PUNJAB",7.04632409325,"DISTRICT",7.04632408565,7.04632408565,0.79642644729,86,7.09317564564236,150.427910958904,0.71695626125739,0.668068907477639,10,0,3197027.82268582,426553.948942,4014216.04413609,0,0,0,0.522915914832191,0.80988455988456,0.63969465648855,0.381338742393509,0.546355092710185,0.764634146341463,1.97401347449471,28.239014478029,2.47584541062802,3.34216643421664,0.408177095098261,0.386505076973469,0.355470412941677,0.383384195004469,0,14033,15120,15879,0.032898534956262,0.035446864429465,0.0372262407589599,10576,0,-62363,-53250
"3",3,"BAHAWALPUR","BAHAWALPUR",90,"PUNJAB",9.20493568697,"DISTRICT",9.20493567606,9.20493567606,2.21050819571,87,2.968808858082,115.459663231968,0.836344017164988,-0.250864167180326,106,0,3807164.53809156,583737.15937,1722302.83763717,0,0,0,0.469413549039434,0.782663634066212,0.732832618025751,0.555302166476625,0.515146051208078,0.812015503875969,2.0202626641651,27.9527587450415,2.60619469026549,3.42282114105705,0.403903407211379,0.360528177316671,0.35282325425994,0.372418279595997,0,14033,15120,15879,0.0240399292296984,0.025902068691872,0.0272023114258093,26423,0,-310830,-169980
"4",4,"BHAKKAR","BHAKKAR",91,"PUNJAB",4.59614473944,"DISTRICT",4.59614474226,4.59614474226,0.810285807515,88,3.55536862496165,172.037484988849,0.751026671469574,0.704666150467736,14,0,1642346.9833552,336050.55987,2026873.68842357,0,0,0,0.472456575682382,0.830769230769231,0.579268292682927,0.498806682577566,0.44212962962963,0.706214689265537,2.02516175413372,28.0945767195767,2.39068100358423,3.29887640449438,0.33743842364532,0.311792452830189,0.262739907346128,0.303990261273879,0,14033,15120,15879,0.0417585972938971,0.0449932296076195,0.0472518183160972,9989,0,-102779,-77264
"5",5,"CHAKWAL","CHAKWAL",92,"PUNJAB",4.77599636092,"DISTRICT",4.7759963602,4.7759963602,0.643806390666,89,4.61454305935456,501.153033732083,0.411950602523726,0.570845554272334,0,0,1704791.22824979,336784.641014,2647987.42753428,0,0,0,0.772286821705426,0.874576271186441,0.828746177370031,0.341772151898734,0.775545549012816,0.932795698924731,1.99899699097292,28.7807412538968,2.76119402985075,3.57506702412869,0.288535031847134,0.276825969341749,0.270703472840606,0.27868815800983,0,14033,15120,15879,0.0416675771132231,0.0448951589789734,0.0471488246975607,10918,0,-120382,-102991
"6",6,"CHINIOT","CHINIOT",93,"PUNJAB",2.65363834506,"DISTRICT",2.65363834471,2.65363834471,0.248165701969,90,10.4787714864765,175.857622377622,0.455123670132352,0.50775933265686,37,0,1518126.07693502,153498.301456,6117388.76440171,0,0,0,0.535228677379481,0.784168212739641,0.767857142857143,0.497572815533981,0.443522360534809,0.71753986332574,2.00720720720721,28.0825265099124,2.26744186046512,3.25675675675676,0.389782783588093,0.376047904191617,0.36015037593985,0.375327021239853,0,14033,15120,15879,0.0914212070550014,0.0985027186397507,0.103447398761945,6241,0,-59874,-50599
"7",7,"FAISALABAD","FAISALABAD",95,"PUNJAB",4.23381568963,"DISTRICT",4.23381568835,4.23381568835,0.564301758515,92,25.2508580672549,179.671757605616,0.463338147688711,0.458538819443096,72,0,8481198.50098624,382136.949175,15029544.6948546,0,0,0,0.761912640635341,0.874731093827569,0.753414264036419,0.543715846994536,0.714115351257589,0.899059561128527,1.98836081474297,28.2158499566349,2.67951318458418,3.52672335256605,0.493700787401575,0.495920928773141,0.453668763102725,0.481096826425814,0,14033,15120,15879,0.036722436891528,0.039566966849562,0.0415531657807008,16488,0,-84428,-88481
"8",8,"GUJRANWALA","GUJRANWALA",96,"PUNJAB",3.00084745111,"DISTRICT",3.0008474495,3.0008474495,0.346384484495,93,25.7696349415943,217.828485456369,0.445303436231173,0.569451505939166,12,0,5323630.48115532,345277.212666,15369136.6659125,0,0,0,0.784078750267494,0.90237636480411,0.837763519706691,0.662299854439592,0.762185912398737,0.939349112426035,2.00246305418719,27.6089523547988,2.83093922651934,3.57577941971526,0.431682917563632,0.447933884297521,0.42036165469408,0.433326152185077,0,14033,15120,15879,0.0406427052965545,0.0437909003123996,0.0459891339987165,23696,0,-219628,-191554
"9",9,"GUJRAT","GUJRAT",97,"PUNJAB",2.48359309713,"DISTRICT",2.48359309613,2.48359309613,0.305540333458,94,17.9984279874604,256.187884308813,0.304424552360587,0.5778116106987,12,0,3244105.42267537,357918.082423,10617601.2376491,0,0,0,0.814234016887817,0.914389067524116,0.93046357615894,0.783132530120482,0.828191489361702,0.952599388379205,1.9165175909362,28.5460106382979,2.89605734767025,3.5645472061657,0.385493460166469,0.37322363500374,0.352972399150743,0.37056316477365,0,13841,15069,15870,0.0386708598411695,0.0421018125096874,0.044339754763338,19700,0,-160343,-140397
"10",10,"HAFIZABAD","HAFIZABAD",98,"PUNJAB",2.15455583292,"DISTRICT",2.15455583351,2.15455583351,0.217050326129,95,10.4150507554307,199.67904,0.446216741976738,0.499427328507106,12,0,1308444.91544734,148843.973522,6028302.00158137,0,0,0,0.582236842105263,0.826480263157895,0.873646209386282,0.569444444444444,0.593586005830904,0.814925373134328,1.98245614035088,28.0460641399417,2.70416666666667,3.44793713163065,0.451147891083823,0.420472440944882,0.480464625131996,0.450694985720234,0,14033,15120,15879,0.0942799340003231,0.101582883352447,0.106682182854068,4397,0,-27234,-17533
