"","Intercept","fertility","elevation","poverty","distance_to_cities","Population","child_population","population_density"
"166",-0.0151429773220262,9.01479281139125e-05,-1.47470993257748e-05,-8.1379777793323e-05,-6.88849011421298e-05,0.000779235727902698,0.000776497753195097,0.00359945876240585
"167",-0.00878267296522421,0.00240162341057644,0.0001554175636153,-0.00237133023069338,-0.0017664012790666,0.0205677569720288,0.020241732555963,0.130821948997593
"168",0.318839618166503,-0.128864131325695,-0.00627666840491926,-0.0287677019893717,-0.0030679441214947,0.0969853048936985,0.0409364872703373,14.7404471311295
"169",0.233394029492575,-0.0963482336443914,-0.00368701170843977,-0.0321681842095693,-0.0119396148575164,-0.0140501301945733,-0.0185869253155247,11.2262272482129
"170",0.0431387748967962,-0.0385680536118368,-0.0166782863584271,-0.0929058112553124,0.0291886973844593,0.423444435688527,0.258361713159184,1.34823482533114
"171",0.406370404049985,-0.162530901197972,-0.0112516715200119,-0.0329176855114113,-0.0244200408425776,-0.00833092690702668,-0.0334933381850257,17.7264847442999
"172",0.0157333040245181,0.000150938702649664,-2.07316937746077e-05,-0.000324317685375249,-0.000280690775054734,0.00254771666922081,0.00252810215958948,0.0164007428120621
"173",0.0297535264797266,-0.0213321469069014,-0.0210693506053124,-0.0762720389476833,0.0288985396332628,0.396499386132473,0.25725880120038,1.41622948117143
"174",0.081122994505678,-0.0130911690314936,0.00016863668728649,-0.018279793961067,-0.0187396366766155,-0.00649275683752164,-0.00706251110898903,4.62484859853491
"175",0.0454547893796555,-0.030556631927641,-0.0310505259276001,-0.107627881887038,0.0334537804666581,0.488714730360112,0.297842730871886,1.38709940799104
"176",0.28059877133734,-0.119565701451803,-0.00566608216517398,-0.0465331738242961,-0.0112044998277092,-0.0713347344129088,0.0285576805025583,13.7555514542872
"177",0.000330119472293085,0.000112127953228906,-3.4770842429682e-06,-9.95707202190355e-05,-7.56935421905191e-05,0.00108404759844993,0.00107641224466687,0.00708253553429129
"178",0.0669053781976766,0.00131347080744241,0.00109546778280174,-0.0249659551148963,-0.00660236924988532,0.201209709267254,0.196110453919629,2.61742162371249
"179",-0.0172654465289316,0.000433547370016294,4.47794833369096e-05,-0.000441023463864111,-0.000380878602575083,0.00434537374819885,0.00426909907887962,0.0426492955542799
