"","X","TEHSIL","Tehsil","OBJECTID","PROVINCE","DISTRICT","SHAPE_Leng","Area_Sq_Km","Shape_Le_1","Shape_Area","id","fertility","elevation","poverty","night_lights","distance_to_lakes_rivers","malaria_instance","Population","child_population","population_density","radio.x","radio.y","radio","electricity.x","electricity.y","electricity","television.x","television.y","television","mobile_phone.x","mobile_phone.y","mobile_phone","dtp_boolean.x","dtp_boolean.y","dtp_boolean","card.x","card.y","card","school_boolean.x","school_boolean.y","school_boolean","antenatal_care.x","antenatal_care.y","antenatal_care","age.x","age.y","age","mothers_age.x","mothers_age.y","mothers_age","dtp_number.x","dtp_number.y","dtp_number","school_level.x","school_level.y","school_level","wm_urban.x","wm_urban.y","wm_urban","hh_urban.x","hh_urban.y","hh_urban","ch_urban.x","ch_urban.y","ch_urban","urban_to_rural","vaccinations","penta1","penta2","penta3","pentavalent1_vacc_per_capita","pentavalent2_vacc_per_capita","pentavalent3_vacc_per_capita","penta1_in_clinic","penta3_in_clinic","penta1_out_clinic","penta3_out_clinic","penta1_ratio","penta3_ratio"
"117",117,"TOBA TEK SINGH","TOBA TEK SINGH",421,"PUNJAB","TOBA TEK SINGH",2.28525495695,1270.46165257,2.28525496359,0.119640397247,417,13.9301663657929,157.423255813953,0.332615500799574,0.450373008847237,0,0,969164.523708005,96864.939548,8100646.15304767,0,0.074792243767313,0.074792243767313,0,0.982019363762102,0.982019363762102,0,0.764868603042877,0.764868603042877,0,0.922544951590595,0.922544951590595,0,0.878205128205128,0.878205128205128,0,0.708333333333333,0.708333333333333,0,0.739089184060721,0.739089184060721,0,0.901639344262295,0.901639344262295,0,2.01988071570577,2.01988071570577,0,28.6650853889943,28.6650853889943,0,2.71532846715328,2.71532846715328,0,3.62901155327343,3.62901155327343,0,0.376689189189189,0.376689189189189,0,0.409986859395532,0.409986859395532,0,0.323679727427598,0.323679727427598,0.370118592004106,0,29086,28783,29962,0.300273764023637,0.297145697238958,0.309317283836767,3548,2970,-63746,-47921,-0.0589388351772484,-0.0660719450067852
"118",118,"VEHARI","VEHARI",424,"PUNJAB","VEHARI",2.2305024581,1391.50062985,2.2305024555,0.129881336181,420,13.908023637974,138.273752012882,0.649471999990383,0.602223992347717,9,0,1015839.31897705,110562.488798,7821287.86819222,0,0.0338345864661654,0.0338345864661654,0,0.93125,0.93125,0,0.53,0.53,0,0.865,0.865,0,0.790816326530612,0.790816326530612,0,0.609756097560976,0.609756097560976,0,0.528,0.528,0,0.768888888888889,0.768888888888889,0,1.94973070017953,1.94973070017953,0,28.552,28.552,0,2.63225806451613,2.63225806451613,0,3.45117845117845,3.45117845117845,0,0.481324278438031,0.481324278438031,0,0.412698412698413,0.412698412698413,0,0.429541595925297,0.429541595925297,0.441188095687247,0,26410,25060,26602,0.238869441951977,0.226659152416378,0.240606016463707,2169,1846,-38223,-31198,-0.0601597603594608,-0.0628917961297356
"119",119,"WAZIRABAD","WAZIRABAD",329,"PUNJAB","GUJRANWALA",1.7500991754,1211.96739087,1.75009917712,0.115534829789,327,15.1735453039857,218.612748045701,0.431096008507803,0.615822523832321,12,0,1025299.34334373,105711.397116,8874374.46539909,0,0.0375146541617819,0.0375146541617819,0,0.997655334114889,0.997655334114889,0,0.827667057444314,0.827667057444314,0,0.921453692848769,0.921453692848769,0,0.900990099009901,0.900990099009901,0,0.803738317757009,0.803738317757009,0,0.78408195429472,0.78408195429472,0,0.974358974358974,0.974358974358974,0,1.93698175787728,1.93698175787728,0,27.7549251379039,27.7549251379039,0,2.78212290502793,2.78212290502793,0,3.58291457286432,3.58291457286432,0,0.409252669039146,0.409252669039146,0,0.414383561643836,0.414383561643836,0,0.41374269005848,0.41374269005848,0.412459640247154,0,28580,28199,27859,0.2703587387899,0.266754586253897,0.263538282153527,6855,5790,-139607,-118172,-0.0516376401108835,-0.0515207061629087
"120",120,"YAZMAN","YAZMAN",304,"PUNJAB","BAHAWALPUR",8.00816202689,19177.7459282,8.00816202682,1.76881531433,302,0.644568755444179,114.645255015902,0.850406557973266,-0.460483657902685,0,0,654666.722364201,71765.9157649999,370115.928475087,0,0.0907317073170732,0.0907317073170732,0,0.823414634146341,0.823414634146341,0,0.388292682926829,0.388292682926829,0,0.839024390243902,0.839024390243902,0,0.757446808510638,0.757446808510638,0,0.581896551724138,0.581896551724138,0,0.585723815877252,0.585723815877252,0,0.8300395256917,0.8300395256917,0,2.04041916167665,2.04041916167665,0,27.9993328885924,27.9993328885924,0,2.56179775280899,2.56179775280899,0,3.40432801822323,3.40432801822323,0,0.237055520898316,0.237055520898316,0,0.219981668194317,0.219981668194317,0,0.210866752910737,0.210866752910737,0.222634647334457,0,20409,22581,25141,0.284382910500718,0.314647974031883,0.350319503792373,2626,2178,-48829,-31408,-0.0568361361816332,-0.074512487170715
"121",121,"ZAFARWAL","ZAFARWAL",382,"PUNJAB","NAROWAL",1.52921059629,641.622802609,1.52652791749,0.0610283651684,379,15.9881398925781,272.221843003413,0.520590984984063,0.530713975429535,0,0,516431.275487114,58942.960615,8462151.55955902,0,0.0319829424307036,0.0319829424307036,0,0.995735607675906,0.995735607675906,0,0.71002132196162,0.71002132196162,0,0.897435897435897,0.897435897435897,0,0.633663366336634,0.633663366336634,0,0.804878048780488,0.804878048780488,0,0.70280612244898,0.70280612244898,0,0.971223021582734,0.971223021582734,0,2.0995145631068,2.0995145631068,0,27.3469387755102,27.3469387755102,0,2.6875,2.6875,0,3.47549909255898,3.47549909255898,0,0.307785888077859,0.307785888077859,0,0.333333333333333,0.333333333333333,0,0.285714285714286,0.285714285714286,0.308944502375159,0,14620,15750,16538,0.248036404134737,0.267207480514508,0.280576337317392,1492,1749,-22839,-26846,-0.0698927249730641,-0.0696896043351795
