"","DISTRICT","TEHSIL","X.1","PROVINCE","X","Tehsil","OBJECTID","SHAPE_Leng","Area_Sq_Km","Shape_Le_1","Shape_Area","id","fertility","elevation","poverty","night_lights","distance_to_lakes_rivers","malaria_instance","Population","child_population","population_density","radio","electricity","television","mobile_phone","dtp_boolean","card","school_boolean","antenatal_care","age","mothers_age","dtp_number","school_level","wm_urban","hh_urban","ch_urban","urban_to_rural","distance_to_cities","penta3_in_clinic","penta3_out_clinic","OutreachProportion","TotalOutreachCoverage","TotalClinicsCoverage"
"11","BAHAWALPUR","AHMADPUR EAST",11,"PUNJAB",2,"AHMADPUR EAST",299,1.93178662608,1478.92405598,1.93178662251,0.137260383826,297,14.166610704767,102.583038869258,0.8124977762952,0.66727802157402,45,0,1113662.97068812,135026.127508,8113506.16722642,0.054590570719603,0.866004962779156,0.424317617866005,0.738213399503722,0.584070796460177,0.448780487804878,0.450417052826691,0.770212765957447,2.03316749585406,27.9972196478221,2.5748031496063,3.36625514403292,0.506318449873631,0.405162738496072,0.391952309985097,0.434477832784933,26.0999999999998,4222,21893,0.83833046142064,0.16213899046096,0.0312680225517825
"12","BAHAWALPUR","BAHAWALPUR",12,"PUNJAB",8,"BAHAWALPUR",300,2.73940956816,1181.25213355,2.73940957036,0.10962840541,298,15.6701441495703,114.598355471221,0.783578614657774,0.517292991280556,22,0,1055597.95547099,114256.993429,9628872.65871609,0.0421686746987952,0.933734939759036,0.487951807228916,0.742971887550201,0.838983050847458,0.669491525423729,0.502103786816269,0.81021897810219,1.96449704142012,27.7180925666199,2.5959595959596,3.52513966480447,0.417525773195876,0.391304347826087,0.415041782729805,0.407957301250589,25.0929791271348,1893,21374,0.9186401340955,0.187069511970678,0.0165679136408952
"13","BAHAWALPUR","BAHAWALPUR CITY",13,"PUNJAB",9,"BAHAWALPUR CITY",301,1.53152629898,245.826837743,1.53152630021,0.0228364694867,299,18.2712192831617,114.369230769231,0.745942277776683,0.574275016784668,15,0,202797.565078761,21939.131049,8880425.46142568,0.0570469798657718,0.954697986577181,0.582214765100671,0.73993288590604,0.745901639344262,0.586206896551724,0.552147239263804,0.849624060150376,2.0625,28.1950920245399,2.71428571428571,3.62888888888889,0.517203107658158,0.464566929133858,0.481751824817518,0.487840620536511,18.2730061349693,636,5991,0.904028972385695,0.27307371411472,0.0289892976426242
"14","BAHAWALPUR","HASILPUR",14,"PUNJAB",36,"HASILPUR",302,2.46603391559,1124.31672477,2.46603391269,0.104523331801,300,7.99757803634948,139.206644518272,0.767006946631162,0.679390013217926,9,0,488766.676434788,52490.272549,4676149.02828913,0.0326295585412668,0.932950191570881,0.53742802303263,0.846743295019157,0.813559322033898,0.537037037037037,0.594630872483221,0.785234899328859,1.93939393939394,27.6456375838926,2.66666666666667,3.372460496614,0.422604422604423,0.390287769784173,0.37468982630273,0.395860672897108,33.6009296148738,1664,9578,0.85198363280555,0.182471904504951,0.0317011118287992
"15","BAHAWALPUR","KHAIRPUR TAMEWALI",15,"PUNJAB",55,"KHAIRPUR TAMEWALI",303,1.74800543405,725.334808558,1.74800543447,0.0674442908616,301,7.53952286256847,128.052523171988,0.739989363484912,0.700109004974365,15,0,291672.648054711,33276.460738,4324645.48635024,0.0609037328094303,0.905882352941176,0.484313725490196,0.762745098039216,0.769911504424779,0.561224489795918,0.348201438848921,0.848,2.05538461538462,28.0690647482014,2.57471264367816,3.16115702479339,0.427450980392157,0.387755102040816,0.351063829787234,0.388756637406736,26.3374485596708,768,7752,0.909859154929577,0.232957466872299,0.0230793775229522
"16","BAHAWALPUR","YAZMAN",16,"PUNJAB",120,"YAZMAN",304,8.00816202689,19177.7459282,8.00816202682,1.76881531433,302,0.644568755444179,114.645255015902,0.850406557973266,-0.460483657902685,0,13,654666.722364201,71765.9157649999,370115.928475087,0.0907317073170732,0.823414634146341,0.388292682926829,0.839024390243902,0.757446808510638,0.581896551724138,0.585723815877252,0.8300395256917,2.04041916167665,27.9993328885924,2.56179775280899,3.40432801822323,0.237055520898316,0.219981668194317,0.210866752910737,0.222634647334457,183.926112048994,2223,19061,0.895555346739335,0.26559962061121,0.0309757072881128
"17","BHAKKAR","BHAKKAR",17,"PUNJAB",10,"BHAKKAR",305,2.32535357851,1830.76182111,2.32535358358,0.173854499289,303,6.66565474292313,165.587740384615,0.724675492037279,0.589412748813629,2,0,662595.031514009,75802.791119,3811204.39346566,0.0520325203252033,0.952922077922078,0.530081300813008,0.830894308943089,0.623287671232877,0.6,0.519108280254777,0.722972972972973,2.09876543209877,28.468152866242,2.40449438202247,3.42740286298568,0.355289421157685,0.332819722650231,0.274157303370787,0.320755482392901,32.7732371794875,2211,18877,0.895153641881639,0.249027769576,0.029167791414554
"18","BHAKKAR","DARYA KHAN",18,"PUNJAB",21,"DARYA KHAN",306,2.04510005276,1384.6620652,2.04510005477,0.13184421513,304,4.84631782080724,178.116071428571,0.760152435133688,0.758242011070251,0,0,360979.779108197,40405.330278,2737926.56547173,0.0733752620545073,0.90146750524109,0.452830188679245,0.82563025210084,0.444444444444444,0.308411214953271,0.404761904761905,0.647540983606557,2.05135951661631,28.0546218487395,2.18,3.22222222222222,0.392902408111534,0.36127744510978,0.331521739130435,0.361900530783916,40.2169117647058,1250,7912,0.863566906788911,0.19581574870353,0.0309365123710077
"19","BHAKKAR","KALUR KOT",19,"PUNJAB",50,"KALUR KOT",307,1.93806691189,1749.69732296,1.93806691214,0.167006998465,305,3.69959843883136,187.389004581424,0.692787295428478,0.603515684604645,12,0,352736.391888435,39069.739409,2112105.45145124,0.0666666666666667,0.961290322580645,0.481720430107527,0.838709677419355,0.666666666666667,0.545454545454545,0.484423676012461,0.771186440677966,1.91349480968858,27.9859813084112,2.57142857142857,3.32258064516129,0.42507204610951,0.36,0.347003154574132,0.377358400227881,48.0387338608911,920,11855,0.927984344422701,0.303431765333687,0.02354763594323
"20","BHAKKAR","MANKERA",20,"PUNJAB",71,"MANKERA",308,2.75352050749,3560.98494102,2.75352050637,0.33758009463,306,1.39704105544855,165.380275890467,0.789757089519206,0.855600506067276,0,0,266035.780844551,28544.857904,788067.143402327,0.0851528384279476,0.845315904139434,0.406113537117904,0.827886710239651,0.597402597402597,0.54014598540146,0.341597796143251,0.685314685314685,2.00819672131148,27.7451790633609,2.3956043956044,3.10483870967742,0.176933158584535,0.178723404255319,0.112860892388451,0.156172485076102,60.8174897119342,424,4691,0.917106549364614,0.164337829803758,0.0148538136509898
