"","OBJECTID","PROVINCE","DISTRICT","TEHSIL","SHAPE_Leng","Area_Sq_Km","Shape_Le_1","Shape_Area","id","penta3_in_clinic","penta3_out_clinic"
"341",343,"PUNJAB","KASUR","CHUNIAN",1.82977106657,1181.82403748,1.82977106794,0.11094759583,"341",2265,18610
"342",344,"PUNJAB","KASUR","KASUR",2.92286646652,1458.18747371,2.92286647186,0.137050059805,"342",4611,34399
"343",345,"PUNJAB","KASUR","KOT RADHA KISHAN",1.07500856646,429.961468623,1.07500856362,0.0404713777675,"343",2176,12873
"344",346,"PUNJAB","KASUR","PATTOKI",1.45208089868,844.634895385,1.45208089605,0.0795171817751,"344",3067,15171
"345",347,"PUNJAB","KHANEWAL","JAHANIAN",1.45683001044,499.727509199,1.45683001066,0.0467037462545,"345",2211,14763
"346",348,"PUNJAB","KHANEWAL","KABIRWALA",2.09632903821,1649.33782288,2.09632903847,0.154822348563,"346",1717,43387
"347",349,"PUNJAB","KHANEWAL","KHANEWAL",1.86252546523,1192.84176893,1.86252547199,0.111678581631,"347",2013,41850
"348",351,"PUNJAB","KHUSHAB","KHUSHAB",3.21807433133,2948.08275164,3.21807433131,0.282120633646,"348",2144,30775
"349",352,"PUNJAB","KHUSHAB","NOORPUR",2.35770529337,2401.75161753,2.35770529374,0.228638041638,"349",366,9976
"350",353,"PUNJAB","KHUSHAB","QAIDABAD",1.85278253678,1281.14695243,1.85278254,0.122537654579,"350",731,11195
"351",354,"PUNJAB","LAHORE","LAHORE CANTT",1.89688566457,1037.43841716,1.8506433392,0.0979041316303,"351",4635,63055
"352",355,"PUNJAB","LAHORE","LAHORE CITY",1.78899013741,656.331330988,1.78899013568,0.0619308895648,"352",9517,65012
"353",356,"PUNJAB","LAYYAH","CHAUBARA",2.25973300018,2940.54723847,2.25973300174,0.277324077191,"353",1523,9547
"354",357,"PUNJAB","LAYYAH","KAROR LAL ESAN",1.77193661749,1417.97067094,1.77193661791,0.134190706245,"354",5621,18258
"355",358,"PUNJAB","LAYYAH","LAYYAH",2.08339814632,2022.48850758,2.08339814457,0.190730581555,"355",10927,35687
"356",359,"PUNJAB","LODHRAN","DUNYA PUR",1.79712404302,806.767928427,1.79712404092,0.0752333544217,"356",2929,15852
"357",360,"PUNJAB","LODHRAN","KARORPACCA",1.69493649807,714.550968972,1.69493650145,0.0664978827561,"357",1708,24708
"358",361,"PUNJAB","LODHRAN","LODHRAN",1.8860463158,1142.96395348,1.88604631292,0.106353191974,"358",3472,28046
"359",362,"PUNJAB","MANDI BAHAUDDIN","MALAKWAL",1.49364609961,749.137191113,1.49364609732,0.0716019165719,"359",3112,16731
