,OBJECTID,PROVINCE,DISTRICT,TEHSIL,SHAPE_Leng,Area_Sq_Km,Shape_Le_1,Shape_Area,id,penta3_in_clinic,penta3_out_clinic,proportion
332,334,PUNJAB,HAFIZABAD,PINDI BHATTIAN,1.586322972,1179.651342,1.586322972,0.112138564,332,1489,15524,0.912478693
333,335,PUNJAB,JHANG,18-HAZARI,2.823827462,1656.389408,2.82382746,0.156673433,333,762,15614,0.95346849
334,336,PUNJAB,JHANG,AHMEDPUR SIAL,1.60514279,862.8911235,1.605142795,0.081254903,334,956,13805,0.93523474
335,337,PUNJAB,JHANG,JHANG,3.519360407,2615.343305,3.519360399,0.247510805,335,4477,55049,0.924789168
336,338,PUNJAB,JHANG,SHORKOT,2.403544303,1227.900047,2.403544305,0.115646879,336,1013,18798,0.948866791
337,339,PUNJAB,JHELUM,DINA,2.121086229,724.8865278,2.12108623,0.069687898,337,2732,7807,0.740772369
338,340,PUNJAB,JHELUM,JHELUM,2.178284953,605.6970968,2.178284956,0.05812378,338,4020,12538,0.757217055
339,341,PUNJAB,JHELUM,PIND DADAN KHAN,2.225782844,1347.723501,2.225782845,0.129115103,339,3966,12910,0.764991704
340,342,PUNJAB,JHELUM,SOHAWA,2.061695422,911.996249,2.061695421,0.087725211,340,2192,6473,0.747028275
341,343,PUNJAB,KASUR,CHUNIAN,1.829771067,1181.824037,1.829771068,0.110947596,341,2904,17971,0.860886228
342,344,PUNJAB,KASUR,KASUR,2.922866467,1458.187474,2.922866472,0.13705006,342,5615,33395,0.856062548
343,345,PUNJAB,KASUR,KOT RADHA KISHAN,1.075008566,429.9614686,1.075008564,0.040471378,343,2525,12524,0.832214765
344,346,PUNJAB,KASUR,PATTOKI,1.452080899,844.6348954,1.452080896,0.079517182,344,3825,14413,0.790273056
345,347,PUNJAB,KHANEWAL,JAHANIAN,1.45683001,499.7275092,1.456830011,0.046703746,345,2440,14534,0.856250736
346,348,PUNJAB,KHANEWAL,KABIRWALA,2.096329038,1649.337823,2.096329038,0.154822349,346,2253,42851,0.950048776
347,349,PUNJAB,KHANEWAL,KHANEWAL,1.862525465,1192.841769,1.862525472,0.111678582,347,2991,40872,0.93181041
348,351,PUNJAB,KHUSHAB,KHUSHAB,3.218074331,2948.082752,3.218074331,0.282120634,348,3510,29409,0.893374647
